"","ccf","lag","upper_ci","lower_ci"
"1",-0.027255257173358,-33,1.95996398454005,-1.95996398454005
"2",-0.0558450253786804,-32,1.38590382434968,-1.38590382434968
"3",-0.0833671473992274,-31,1.13158573407617,-1.13158573407617
"4",-0.103450775898572,-30,0.979981992270027,-0.979981992270027
"5",-0.114704339079628,-29,0.876522540576581,-0.876522540576581
"6",-0.121305837025782,-28,0.800151946059218,-0.800151946059218
"7",-0.123690962748676,-27,0.740796754533746,-0.740796754533746
"8",-0.121115663735596,-26,0.692951912174839,-0.692951912174839
"9",-0.115947841054708,-25,0.653321328180018,-0.653321328180018
"10",-0.110456480999732,-24,0.619795032304561,-0.619795032304561
"11",-0.106051025418893,-23,0.590951376302663,-0.590951376302663
"12",-0.102783568675393,-22,0.565792867038086,-0.565792867038086
"13",-0.101803318636529,-21,0.543596203409375,-0.543596203409375
"14",-0.103461490809729,-20,0.523822408611799,-0.523822408611799
"15",-0.107936425306551,-19,0.506060524752664,-0.506060524752664
"16",-0.114704183663412,-18,0.489990996135013,-0.489990996135013
"17",-0.122025835460048,-17,0.475361090039124,-0.475361090039124
"18",-0.126344455679628,-16,0.461967941449893,-0.461967941449893
"19",-0.124736852631591,-15,0.449646575873127,-0.449646575873127
"20",-0.115852320505988,-14,0.438261270288291,-0.438261270288291
"21",-0.0973825150223497,-13,0.42769920564486,-0.42769920564486
"22",-0.0675141672482236,-12,0.417865725535136,-0.417865725535136
"23",-0.0255911861654896,-11,0.408680741809339,-0.408680741809339
"24",0.0285226183287132,-10,0.400075973029609,-0.400075973029609
"25",0.0944324155902375,-9,0.391992796908011,-0.391992796908011
"26",0.170625133733867,-8,0.384380561658031,-0.384380561658031
"27",0.256199857253299,-7,0.377195244692057,-0.377195244692057
"28",0.348020623244826,-6,0.370398377266873,-0.370398377266873
"29",0.437306670619355,-5,0.363956174924007,-0.363956174924007
"30",0.519581746933284,-4,0.357838828743431,-0.357838828743431
"31",0.591843348483981,-3,0.352019923404918,-0.352019923404918
"32",0.641653539846424,-2,0.346475956087419,-0.346475956087419
"33",0.666961153785483,-1,0.341185936186322,-0.341185936186322
"34",0.677912356515729,0,0.336131050278893,-0.336131050278893
"35",0.549302870809826,1,0.341185936186322,-0.341185936186322
"36",0.418300495444819,2,0.346475956087419,-0.346475956087419
"37",0.284697528248539,3,0.352019923404918,-0.352019923404918
"38",0.178461420242823,4,0.357838828743431,-0.357838828743431
"39",0.104818926228557,5,0.363956174924007,-0.363956174924007
"40",0.0403259623787133,6,0.370398377266873,-0.370398377266873
"41",-0.0172037109352594,7,0.377195244692057,-0.377195244692057
"42",-0.0653021705352049,8,0.384380561658031,-0.384380561658031
"43",-0.11402984133324,9,0.391992796908011,-0.391992796908011
"44",-0.166000416971935,10,0.400075973029609,-0.400075973029609
"45",-0.219359563624075,11,0.408680741809339,-0.408680741809339
"46",-0.272793762469627,12,0.417865725535136,-0.417865725535136
"47",-0.327581896698036,13,0.42769920564486,-0.42769920564486
"48",-0.379342532855447,14,0.438261270288291,-0.438261270288291
"49",-0.424765981789136,15,0.449646575873127,-0.449646575873127
"50",-0.461098771300441,16,0.461967941449893,-0.461967941449893
"51",-0.486008366683436,17,0.475361090039124,-0.475361090039124
"52",-0.49132345840247,18,0.489990996135013,-0.489990996135013
"53",-0.474088652551496,19,0.506060524752664,-0.506060524752664
"54",-0.441711158095343,20,0.523822408611799,-0.523822408611799
"55",-0.393594811384525,21,0.543596203409375,-0.543596203409375
"56",-0.330080006596138,22,0.565792867038086,-0.565792867038086
"57",-0.251965437910709,23,0.590951376302663,-0.590951376302663
"58",-0.160707647324884,24,0.619795032304561,-0.619795032304561
"59",-0.0597538721887028,25,0.653321328180018,-0.653321328180018
"60",0.0426858788450263,26,0.692951912174839,-0.692951912174839
"61",0.145591163749939,27,0.740796754533746,-0.740796754533746
"62",0.243745819336499,28,0.800151946059218,-0.800151946059218
"63",0.307793318725262,29,0.876522540576581,-0.876522540576581
"64",0.339714854913742,30,0.979981992270027,-0.979981992270027
"65",0.341703505988088,31,1.13158573407617,-1.13158573407617
"66",0.268216818489436,32,1.38590382434968,-1.38590382434968
"67",0.131620707631422,33,1.95996398454005,-1.95996398454005
