"","sub_region_1","Pre_lockdown_av","Min_during_lockdown","Drop","Min_days","Mobility_30days","Rebound_30days"
"X.63","Southampton","-82","-12.0714285714286","69.9285714285714","19","-59","23"
"X.64","Southend-on-Sea","-85","-13.4285714285714","71.5714285714286","19","-62","23"
"X.65","Staffordshire","-84","-9.35714285714286","74.6428571428571","19","-58.3333333333333","25.6666666666667"
"X.66","Stockton-on-Tees","-82","-6.71428571428571","75.2857142857143","19","-54.8888888888889","27.1111111111111"
"X.67","Stoke-on-Trent","-78","-7.5","70.5","19","-53.4444444444444","24.5555555555556"
"X.68","Suffolk","-82","-9.07142857142857","72.9285714285714","19","-56.5555555555556","25.4444444444444"
"X.69","Surrey","-88","-15.5","72.5","19","-66.6666666666667","21.3333333333333"
"X.70","Swindon","-85","-11.2142857142857","73.7857142857143","19","-60.5555555555556","24.4444444444444"
"X.71","Thurrock","-82","-9.85714285714286","72.1428571428571","19","-56.2222222222222","25.7777777777778"
"X.72","Torbay","-79","-9.42857142857143","69.5714285714286","19","-55.5555555555556","23.4444444444444"
"X.73","Tyne and Wear","-83","-10.7857142857143","72.2142857142857","19","-61.1111111111111","21.8888888888889"
"X.74","Warrington","-84","-9.5","74.5","19","-59.1111111111111","24.8888888888889"
"X.75","Warwickshire","-85","-11.7857142857143","73.2142857142857","19","-61","24"
"X.76","West Berkshire","-88","-15.3571428571429","72.6428571428571","19","-65.1111111111111","22.8888888888889"
"X.77","West Midlands","-83","-10.7142857142857","72.2857142857143","19","-59.1111111111111","23.8888888888889"
"X.78","West Sussex","-85","-11.5","73.5","19","-60.5555555555556","24.4444444444444"
"X.79","West Yorkshire","-83","-10.0714285714286","72.9285714285714","19","-59.2222222222222","23.7777777777778"
"X.80","Wiltshire","-85","-11.5714285714286","73.4285714285714","19","-60.7777777777778","24.2222222222222"
"X.81","Windsor and Maidenhead","-88","-16.6428571428571","71.3571428571429","19","-67.5555555555556","20.4444444444444"
"X.82","Wokingham","-90","-17.4285714285714","72.5714285714286","19","-69.8888888888889","20.1111111111111"
"X.83","Worcestershire","-85","-10.5714285714286","74.4285714285714","19","-59.1111111111111","25.8888888888889"
"X.84","York","-86","-15.8571428571429","70.1428571428571","19","-68.7777777777778","17.2222222222222"
