"","(Intercept)","days_since_lockdown","bank_holiday1","dayMonday","dayTuesday","dayWednesday","dayThursday","dayFriday","daySaturday"
"Middlesbrough",-49.4734440110166,0.332693429984335,-17.2553751881316,-16.7901308986291,-17.5615659156296,-17.8033502547048,-17.5852530433803,-16.3753839420094,-3.75063990334901
"Milton Keynes",-53.8149117957224,0.306785023190097,-15.5230058052032,-22.6362840556562,-23.2746709500633,-23.3996377914353,-22.9129782637631,-21.5492623194193,-0.77654831014325
"Norfolk",-52.1136673116892,0.31197591915717,-20.0294022790798,-16.0570755393105,-16.7290058182339,-16.6773453737547,-16.0640722425285,-15.371147781839,-2.93802408084282
"North East Lincolnshire",-45.8727462604048,0.322234849648309,-20.2432272629542,-14.3650303058226,-14.7439204528003,-14.9752462115395,-14.6166287843884,-13.8149924235443,-3.1777651503517
"North Lincolnshire",-47.5379744243429,0.336256411831557,-22.6754461406149,-15.0570153883957,-16.0941002307375,-16.1576293698418,-16.0745640978387,-14.3815794862344,-4.41374358816845
"North Somerset",-53.6321579588619,0.288325091378198,-17.4780692324231,-19.2919802193077,-20.2644820599024,-20.3709889694624,-19.8850247258654,-18.0936716118397,-2.79500824195513
"North Yorkshire",-55.8960182654011,0.294683171053844,-19.0746613631477,-13.7822396105292,-13.9822176676617,-14.5496281114428,-13.7826171535051,-13.3148567640344,-2.95531682894616
"Northamptonshire",-47.8351455396176,0.313296679669502,-20.6183078907762,-20.8769120312068,-21.4239943744351,-21.3736546904683,-20.8101099609915,-20.0203553255316,-2.85336998699718
"Northumberland",-54.5013412374195,0.291196977608502,-19.4039453880886,-13.4738727462604,-14.4192651396478,-14.6195530263473,-14.1264090671745,-13.5169484801016,-1.79213635572483
"Nottingham",-54.8778629275834,0.266133243234942,-13.9144807568265,-19.1137197837639,-18.9492849836324,-18.851781863231,-18.5349336036285,-17.8986533873924,-2.90053342343173
"Nottinghamshire",-52.099484493862,0.317658260896274,-18.9816706084713,-18.8207131594844,-19.4250277601707,-19.8335951119761,-19.0470252173112,-18.1177383767956,-3.84900840577041
"Oxfordshire",-57.7024219061953,0.300058359185428,-16.7795097828424,-20.5868067287117,-20.9362760975855,-21.0545162749527,-20.5164915891104,-18.8532983178221,-2.36660830748124
"Peterborough",-42.9135439383235,0.299121540682495,-18.9373790582671,-22.4762250309713,-23.778590416249,-23.623166502386,-23.5193020446192,-21.6621937422572,-3.11754512598418
"Plymouth",-55.2041726817581,0.306124642933931,-17.478552999355,-17.3096991430414,-17.6771766719627,-17.8014831330785,-17.4149594045315,-16.6413252142396,-4.5272086903994
"Portsmouth",-53.0993334766717,0.291550204257149,-17.70097828424,-19.1747204902172,-19.7444928754325,-19.5814976251442,-19.3753493872286,-18.5500698774457,-3.87511646240952
"Reading",-55.5646020825014,0.278665110421722,-12.1592130724575,-26.4187962650121,-25.9456386980038,-25.9515765356982,-25.2473380020682,-24.082800933747,-2.38800155624494
"Redcar and Cleveland",-50.1883926651718,0.323816690727033,-19.0299397978929,-15.5688267244116,-15.8551840548185,-16.5426371091819,-15.8618832611522,-15.5140433188971,-3.75951664260631
"Rutland",-57.909783667901,0.290050672383551,-19.7635743519782,-12.0401075164036,-13.2376977728956,-13.345930263461,-13.7571672188657,-12.3366221659196,-1.42060189696615
"Shropshire",-52.1071326186892,0.317842553060786,-20.6801225542894,-17.1211554606792,-17.8792967764694,-17.7425938749848,-17.629805674151,-16.9176278014969,-4.09882411360588
"Slough",-55.2739656602267,0.295758208680161,-17.0656310470866,-17.701486367499,-18.3745445051616,-18.1248481683872,-17.8627253739595,-15.7308784081252,1.79575820868017
"Somerset",-49.9672395081446,0.302423441963325,-21.6596430875081,-16.275816260712,-16.8569708976611,-17.0684852487153,-16.7593963407767,-16.0352126014887,-4.94757655803668
"South Gloucestershire",-50.7271221754666,0.290613385754215,-17.6088475596646,-25.1891387924768,-25.4428678001566,-25.2789357313653,-24.6281598427374,-23.4006319685475,-3.70938661424579
"South Yorkshire",-52.4823745021552,0.308812236999723,-18.7059772092023,-17.5244827021327,-17.6882967960156,-17.9061999421062,-17.5735632890008,-16.5980459911335,-2.85785442966694
"Southampton",-52.2801906400057,0.26177166200817,-16.5511180391314,-19.7532519888196,-19.9179485675938,-19.6342656841474,-19.6313516806422,-18.3846036694618,-2.4048950046585
"Southend-on-Sea",-56.4034974557443,0.324983874435605,-17.1201354547409,-19.3882946319788,-19.4140393398617,-19.7390232142974,-19.5250483766932,-18.163343008672,-3.09168279223107
"Staffordshire",-55.106167644439,0.345931750468409,-19.5941732960654,-17.1635695344575,-18.0038296470247,-17.8952159429476,-17.2122047485948,-16.4591076163856,-3.9040682495316
"Stockton-on-Tees",-51.4353646425244,0.325751758454403,-20.113685228983,-17.0568042202906,-17.6856147865608,-17.829548363197,-17.2727447246368,-16.496215611594,-1.67424824154561
"Stoke-on-Trent",-50.7293439198943,0.318779371563719,-17.7722532788648,-16.5234038250863,-16.8400127608362,-16.9769739505818,-16.7103285519755,-16.1503990437284,-4.01455396176962
"Suffolk",-52.046584963807,0.316383573425069,-20.4423779832294,-17.1593205762202,-17.7905761550139,-18.0160506375299,-17.8008492797248,-16.8768365226116,-2.76694975990827
"Surrey",-57.2543615812268,0.313358110391006,-14.0177918727156,-24.8937261316051,-25.0981446525953,-25.3205936720772,-24.559925668827,-22.8703184670987,-0.853308556275671
"Swindon",-52.145370683212,0.326796080719968,-17.9049129219523,-23.1759772603946,-23.3810180001322,-23.616904989943,-22.7696117578401,-21.9455890182347,-2.83987058594671
"Thurrock",-50.1742047281178,0.345563166139386,-19.4472694044292,-21.1876849320679,-22.0119582810939,-22.1757032654151,-20.9633105015818,-20.0676621003164,-2.48777016719395
"Torbay",-55.9375940657923,0.329821543754031,-17.5794990324661,-13.3165717050097,-14.5279949570962,-14.0396346826684,-13.8438687020712,-13.0771070737476,-3.00351178957931
"Tyne and Wear",-56.8638362461734,0.281859507939921,-16.9323801333047,-16.1264628190558,-16.5923622532416,-16.6924035793634,-16.0710881428469,-15.4475509619027,-2.21814049206008
"Warrington",-50.444456389307,0.295850354762417,-18.6648570199957,-22.6017075180965,-22.7531941648261,-23.1399536104976,-22.1957822690461,-21.2974897871425,-2.70414964523759
"Warwickshire",-54.0980485507469,0.323647756242897,-17.4313588475597,-21.3350879483163,-21.7569526080599,-21.7169640006664,-21.1123900646047,-20.6141446795876,-4.00968557709044
"West Berkshire",-54.7686954162443,0.333783825291028,-15.5962158675554,-26.8177478473652,-26.8553848681241,-27.0073505115969,-26.3319818574603,-24.6497297048254,-3.24954950804232
"West Midlands",-55.1775501428264,0.347651810670516,-16.0297247903677,-20.2593643456092,-20.546704102176,-20.8943559128466,-20.2070445679885,-18.9664089135977,-3.15234818932949
"West Sussex",-54.9528928750602,0.322158061246429,-17.99387228553,-19.6565126803248,-19.7516113929788,-19.9828603633162,-19.2001924829274,-17.8567051632521,-1.84450860542024
"West Yorkshire",-53.1509532000287,0.308858310040852,-17.0055901956568,-20.3912599440981,-20.4761064743327,-20.8758738752826,-20.0734250698775,-19.2980183473088,-3.60780835662582
"Wiltshire",-54.2545177176439,0.323402033356882,-19.5834229198022,-19.8928315467232,-20.2270181620859,-20.82314746817,-19.7797938999294,-18.9226254466525,-2.92659796664313
"Windsor and Maidenhead",-58.1477664813506,0.308781521638972,-13.5062352182326,-25.0577423186002,-25.02167620239,-25.2395486331199,-24.4069887684164,-22.1313977536833,-0.857885145027703
"Wokingham",-58.2432042264337,0.325137451239365,-13.1188454095893,-28.3886632163078,-28.85320291405,-28.6328858198349,-28.3579209796153,-25.996584195923,-1.5915292154273
"Worcestershire",-55.5752551934556,0.349202936388488,-19.6166953343367,-17.9130870473324,-18.3928622620839,-18.9238833802906,-18.2857245241679,-16.9488115715002,-3.31746373027818
"York",-64.3281629142734,0.224775009982492,-13.4618899161471,-13.6477933572913,-13.9355647577535,-14.4330670404633,-13.9090083033859,-13.0568016606772,-0.775224990017512
