"","parks_percent_change_from_baseline","residential_percent_change_from_baseline","transit_stations_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","retail_and_recreation_percent_change_from_baseline","workplaces_percent_change_from_baseline"
"Nottinghamshire",25,0,0,0,0,0
"Nottinghamshire.1",3.06748466257669,0,0,0,0,0
"Oxfordshire",25,0,0,0,0,0
"Oxfordshire.1",3.06748466257669,0,0,0,0,0
"Peterborough",762,25,9,6,3,0
"Peterborough.1",93.4969325153374,3.06748466257669,1.10429447852761,0.736196319018405,0.368098159509202,0
"Plymouth",25,14,14,3,3,3
"Plymouth.1",3.06748466257669,1.71779141104294,1.71779141104294,0.368098159509202,0.368098159509202,0.368098159509202
"Portsmouth",340,7,6,6,5,3
"Portsmouth.1",41.7177914110429,0.858895705521472,0.736196319018405,0.736196319018405,0.613496932515337,0.368098159509202
"Reading",332,44,22,9,6,0
"Reading.1",40.7361963190184,5.39877300613497,2.69938650306748,1.10429447852761,0.736196319018405,0
"Redcar and Cleveland",510,47,22,22,22,3
"Redcar and Cleveland.1",62.807881773399,5.78817733990148,2.70935960591133,2.70935960591133,2.70935960591133,0.369458128078818
"Rutland",700,685,649,567,553,6
"Rutland.1",100,97.8571428571428,92.7142857142857,81,79,0.857142857142857
"Shropshire",25,6,0,0,0,0
"Shropshire.1",3.06748466257669,0.736196319018405,0,0,0,0
"Slough",293,36,22,22,22,3
"Slough.1",36.0837438423645,4.43349753694581,2.70935960591133,2.70935960591133,2.70935960591133,0.369458128078818
"Somerset",25,6,0,0,0,0
"Somerset.1",3.06748466257669,0.736196319018405,0,0,0,0
"South Gloucestershire",36,6,4,3,0,0
"South Gloucestershire.1",4.41717791411043,0.736196319018405,0.49079754601227,0.368098159509202,0,0
"South Yorkshire",19,0,0,0,0,0
"South Yorkshire.1",2.33128834355828,0,0,0,0,0
"Southampton",25,3,3,3,3,2
"Southampton.1",3.06748466257669,0.368098159509202,0.368098159509202,0.368098159509202,0.368098159509202,0.245398773006135
"Southend-on-Sea",207,43,22,22,8,3
"Southend-on-Sea.1",25.4926108374384,5.29556650246305,2.70935960591133,2.70935960591133,0.985221674876847,0.369458128078818
"Staffordshire",28,0,0,0,0,0
"Staffordshire.1",3.43558282208589,0,0,0,0,0
"Stockton-on-Tees",91,25,24,21,21,6
"Stockton-on-Tees.1",11.1656441717791,3.06748466257669,2.94478527607362,2.57668711656442,2.57668711656442,0.736196319018405
"Stoke-on-Trent",182,25,10,3,3,0
"Stoke-on-Trent.1",22.3312883435583,3.06748466257669,1.22699386503067,0.368098159509202,0.368098159509202,0
"Suffolk",25,3,0,0,0,0
"Suffolk.1",3.06748466257669,0.368098159509202,0,0,0,0
"Surrey",1,0,0,0,0,0
"Surrey.1",0.122699386503067,0,0,0,0,0
"Swindon",720,25,12,6,6,3
"Swindon.1",88.3435582822086,3.06748466257669,1.47239263803681,0.736196319018405,0.736196319018405,0.368098159509202
"Thurrock",468,22,22,22,20,6
"Thurrock.1",57.4233128834356,2.69938650306748,2.69938650306748,2.69938650306748,2.45398773006135,0.736196319018405
"Torbay",104,50,22,22,22,3
"Torbay.1",12.807881773399,6.1576354679803,2.70935960591133,2.70935960591133,2.70935960591133,0.369458128078818
"Tyne and Wear",19,0,0,0,0,0
"Tyne and Wear.1",2.33128834355828,0,0,0,0,0
"Warrington",511,25,16,10,6,5
"Warrington.1",62.6993865030675,3.06748466257669,1.96319018404908,1.22699386503067,0.736196319018405,0.613496932515337
"Warwickshire",25,0,0,0,0,0
"Warwickshire.1",3.06748466257669,0,0,0,0,0
"West Berkshire",62,19,19,19,7,0
"West Berkshire.1",7.66378244746601,2.34857849196539,2.34857849196539,2.34857849196539,0.865265760197775,0
"West Midlands",0,0,0,0,0,0
"West Midlands.1",0,0,0,0,0,0
"West Sussex",22,0,0,0,0,0
