,Estimate,Std. Error,t value,Pr(>|t|),2.50%,97.50%,region
bank_holiday,-16.93238013,1.783272663,-9.495115629,2.21E-14,-20.48643743,-13.37832284,Tyne and Wear
days_since_lockdown,0.281859508,0.015210843,18.53017028,2.57E-29,0.251544342,0.312174674,Tyne and Wear
(Intercept),-50.44445639,1.450957627,-34.76631947,3.62E-47,-53.33621077,-47.55270201,Warrington
dayFriday,-21.29748979,1.744126306,-12.21097905,2.60E-19,-24.7735285,-17.82145107,Warrington
dayMonday,-22.60170752,1.744716559,-12.9543721,1.33E-20,-26.07892261,-19.12449243,Warrington
daySaturday,-2.704149645,1.702166604,-1.588651569,0.116461148,-6.096562794,0.688263504,Warrington
dayThursday,-22.19578227,1.703062524,-13.03286401,9.77E-21,-25.58998098,-18.80158355,Warrington
dayTuesday,-22.75319416,1.740554277,-13.07238416,8.37E-21,-26.22211384,-19.28427449,Warrington
dayWednesday,-23.13995361,1.740335165,-13.29626274,3.48E-21,-26.60843659,-19.67147063,Warrington
bank_holiday,-18.66485702,2.289430019,-8.152621772,7.28E-12,-23.22768447,-14.10202957,Warrington
days_since_lockdown,0.295850355,0.019528231,15.14988004,3.10E-24,0.256930647,0.334770063,Warrington
(Intercept),-54.09804855,1.400012268,-38.64112465,2.39E-50,-56.88826898,-51.30782813,Warwickshire
dayFriday,-20.61414468,1.682887343,-12.24927193,2.22E-19,-23.96813432,-17.26015504,Warwickshire
dayMonday,-21.33508795,1.683456871,-12.67337959,4.06E-20,-24.69021265,-17.97996324,Warwickshire
daySaturday,-4.009685577,1.64240091,-2.441356159,0.017056649,-7.28298587,-0.736385284,Warwickshire
dayThursday,-21.11239006,1.643265373,-12.84782751,2.03E-20,-24.38741323,-17.8373669,Warwickshire
dayTuesday,-21.75695261,1.679440733,-12.95487967,1.33E-20,-25.10407316,-18.40983205,Warwickshire
dayWednesday,-21.716964,1.679229315,-12.93269705,1.45E-20,-25.0636632,-18.3702648,Warwickshire
bank_holiday,-17.43135885,2.209044602,-7.890903983,2.26E-11,-21.83397839,-13.0287393,Warwickshire
days_since_lockdown,0.323647756,0.018842565,17.17641754,2.35E-27,0.286094579,0.361200933,Warwickshire
(Intercept),-54.76869542,1.819926679,-30.09390217,6.90E-43,-58.39580406,-51.14158678,West Berkshire
dayFriday,-24.6497297,2.187646239,-11.2676946,1.23E-17,-29.00970237,-20.28975704,West Berkshire
dayMonday,-26.81774785,2.188386589,-12.25457512,2.18E-19,-31.17919603,-22.45629966,West Berkshire
daySaturday,-3.249549508,2.135016458,-1.522025507,0.132322893,-7.504631173,1.005532157,West Berkshire
dayThursday,-26.33198186,2.136140205,-12.32689773,1.63E-19,-30.58930315,-22.07466057,West Berkshire
dayTuesday,-26.85538487,2.183165866,-12.3011198,1.80E-19,-31.20642816,-22.50434157,West Berkshire
dayWednesday,-27.00735051,2.182891036,-12.37228523,1.35E-19,-31.35784607,-22.65685495,West Berkshire
bank_holiday,-15.59621587,2.871617127,-5.431161321,7.02E-07,-21.31934055,-9.873091187,West Berkshire
days_since_lockdown,0.333783825,0.024494132,13.62709318,9.61E-22,0.28496709,0.382600561,West Berkshire
(Intercept),-55.17755014,1.266974461,-43.55064118,5.53E-54,-57.7026266,-52.65247368,West Midlands
dayFriday,-18.96640891,1.522969,-12.45357516,9.78E-20,-22.00168175,-15.93113607,West Midlands
dayMonday,-20.25936435,1.523484409,-13.29804508,3.45E-21,-23.29566439,-17.2230643,West Midlands
daySaturday,-3.152348189,1.486329839,-2.120894103,0.037327614,-6.114599286,-0.190097093,West Midlands
dayThursday,-20.20704457,1.487112155,-13.58811069,1.12E-21,-23.17085482,-17.24323432,West Midlands
dayTuesday,-20.5467041,1.519849909,-13.5189034,1.46E-21,-23.5757606,-17.5176476,West Midlands
dayWednesday,-20.89435591,1.519658581,-13.74937514,6.00E-22,-23.9230311,-17.86568073,West Midlands
bank_holiday,-16.02972479,1.99912755,-8.018360206,1.30E-11,-20.01398025,-12.04546933,West Midlands
days_since_lockdown,0.347651811,0.017052028,20.38771079,7.34E-32,0.313667168,0.381636453,West Midlands
(Intercept),-54.95289288,1.346175015,-40.82150706,5.18E-52,-57.63581581,-52.26996994,West Sussex
dayFriday,-17.85670516,1.618172173,-11.03510829,3.24E-17,-21.08171765,-14.63169267,West Sussex
dayMonday,-19.65651268,1.6187198,-12.14324596,3.41E-19,-22.88261659,-16.43040877,West Sussex
daySaturday,-1.844508605,1.57924264,-1.167970367,0.246619216,-4.991934648,1.302917438,West Sussex
dayThursday,-19.20019248,1.580073861,-12.15145251,3.30E-19,-22.34927515,-16.05110982,West Sussex
dayTuesday,-19.75161139,1.614858102,-12.23117459,2.39E-19,-22.97001895,-16.53320384,West Sussex
dayWednesday,-19.98286036,1.614654814,-12.37593335,1.34E-19,-23.20086277,-16.76485796,West Sussex
bank_holiday,-17.99387229,2.124096138,-8.471307851,1.83E-12,-22.22718978,-13.76055479,West Sussex
days_since_lockdown,0.322158061,0.018117977,17.78112793,3.05E-28,0.286048986,0.358267137,West Sussex
(Intercept),-53.1509532,1.262670144,-42.09409201,6.03E-53,-55.66745117,-50.63445523,West Yorkshire
dayFriday,-19.29801835,1.517794988,-12.71450921,3.45E-20,-22.3229794,-16.2730573,West Yorkshire
dayMonday,-20.39125994,1.518308645,-13.43024688,2.06E-21,-23.41724471,-17.36527518,West Yorkshire
daySaturday,-3.607808357,1.481280301,-2.435601388,0.017309101,-6.559995739,-0.655620975,West Yorkshire
dayThursday,-20.07342507,1.48205996,-13.54427325,1.32E-21,-23.02716631,-17.11968383,West Yorkshire
dayTuesday,-20.47610647,1.514686493,-13.51837927,1.46E-21,-23.4948723,-17.45734065,West Yorkshire
dayWednesday,-20.87587388,1.514495814,-13.78404197,5.25E-22,-23.89425968,-17.85748807,West Yorkshire
bank_holiday,-17.0055902,1.992335874,-8.535503687,1.39E-12,-20.97630987,-13.03487053,West Yorkshire
days_since_lockdown,0.30885831,0.016994097,18.17444714,8.25E-29,0.274989124,0.342727496,West Yorkshire
(Intercept),-54.25451772,1.361001803,-39.86366337,2.73E-51,-56.9669904,-51.54204504,Wiltshire
dayFriday,-18.92262545,1.635994741,-11.56643415,3.59E-18,-22.18315826,-15.66209263,Wiltshire
dayMonday,-19.89283155,1.6365484,-12.15535792,3.25E-19,-23.1544678,-16.63119529,Wiltshire
daySaturday,-2.926597967,1.596636438,-1.832977062,0.070883379,-6.108689798,0.255493865,Wiltshire
dayThursday,-19.7797939,1.597476813,-12.38189734,1.30E-19,-22.9635606,-16.5960272,Wiltshire
dayTuesday,-20.22701816,1.632644169,-12.3891161,1.27E-19,-23.4808733,-16.97316303,Wiltshire
dayWednesday,-20.82314747,1.632438642,-12.75585308,2.92E-20,-24.07659299,-17.56970195,Wiltshire
bank_holiday,-19.58342292,2.147490958,-9.119210885,1.11E-13,-23.86336623,-15.30347961,Wiltshire
days_since_lockdown,0.323402033,0.018317528,17.65533145,4.65E-28,0.286895252,0.359908815,Wiltshire
(Intercept),-58.14776648,1.571039396,-37.01229049,4.77E-49,-61.27884348,-55.01668948,Windsor and Maidenhead
dayFriday,-22.13139775,1.888470819,-11.71921617,1.92E-18,-25.89511467,-18.36768084,Windsor and Maidenhead
dayMonday,-25.05774232,1.889109921,-13.26431143,3.94E-21,-28.82273296,-21.29275167,Windsor and Maidenhead
daySaturday,-0.857885145,1.843038517,-0.465473259,0.642978287,-4.531055612,2.815285322,Windsor and Maidenhead
dayThursday,-24.40698877,1.844008584,-13.23583251,4.40E-21,-28.08209258,-20.73188496,Windsor and Maidenhead
dayTuesday,-25.0216762,1.884603167,-13.27689385,3.75E-21,-28.7776849,-21.26566751,Windsor and Maidenhead
dayWednesday,-25.23954863,1.884365922,-13.39418652,2.37E-21,-28.9950845,-21.48401277,Windsor and Maidenhead
bank_holiday,-13.50623522,2.478904061,-5.448470325,6.55E-07,-18.44668389,-8.565786548,Windsor and Maidenhead
days_since_lockdown,0.308781522,0.021144394,14.6034698,2.35E-23,0.266640805,0.350922238,Windsor and Maidenhead
(Intercept),-58.24320423,1.861510281,-31.28814535,4.93E-44,-61.95318887,-54.53321959,Wokingham
dayFriday,-25.9965842,2.237631885,-11.61790032,2.91E-18,-30.45617811,-21.53699028,Wokingham
dayMonday,-28.38866322,2.238389152,-12.68263081,3.91E-20,-32.84976636,-23.92756007,Wokingham
daySaturday,-1.591529215,2.183799563,-0.728789053,0.468462375,-5.943835469,2.760777038,Wokingham
dayThursday,-28.35792098,2.184948987,-12.97875655,1.21E-20,-32.71251803,-24.00332393,Wokingham
dayTuesday,-28.85320291,2.23304914,-12.9209888,1.52E-20,-33.30366343,-24.4027424,Wokingham
dayWednesday,-28.63288582,2.23276803,-12.82394115,2.23E-20,-33.08278609,-24.18298555,Wokingham
bank_holiday,-13.11884541,2.93723086,-4.466399148,2.85E-05,-18.97273807,-7.264952748,Wokingham
days_since_lockdown,0.325137451,0.0250538,12.97757022,1.22E-20,0.275205299,0.375069603,Wokingham
(Intercept),-55.57525519,1.261733739,-44.04673783,2.49E-54,-58.08988691,-53.06062348,Worcestershire
dayFriday,-16.94881157,1.51666938,-11.1750206,1.81E-17,-19.97152929,-13.92609386,Worcestershire
dayMonday,-17.91308705,1.517182657,-11.80680979,1.34E-18,-20.93682772,-14.88934637,Worcestershire
daySaturday,-3.31746373,1.480181773,-2.241254278,0.028050519,-6.26746175,-0.367465711,Worcestershire
dayThursday,-18.28572452,1.480960854,-12.34720315,1.50E-19,-21.23727525,-15.3341738,Worcestershire
dayTuesday,-18.39286226,1.513563191,-12.15202799,3.29E-19,-21.40938935,-15.37633517,Worcestershire
dayWednesday,-18.92388338,1.513372654,-12.50444385,7.97E-20,-21.94003073,-15.90773603,Worcestershire
bank_holiday,-19.61669533,1.990858344,-9.8533858,4.76E-15,-23.58447029,-15.64892038,Worcestershire
days_since_lockdown,0.349202936,0.016981494,20.56373507,4.29E-32,0.315358868,0.383047004,Worcestershire
(Intercept),-64.32816291,0.998135598,-64.44832049,4.32E-66,-66.31744429,-62.33888154,York
dayFriday,-13.05680166,1.199810747,-10.88238432,6.13E-17,-15.44802103,-10.66558229,York
dayMonday,-13.64779336,1.20021679,-11.37110684,8.04E-18,-16.03982197,-11.25576474,York
daySaturday,-0.77522499,1.170946036,-0.662050143,0.510023722,-3.108917073,1.558467093,York
dayThursday,-13.9090083,1.171562353,-11.87218783,1.03E-18,-16.24392871,-11.5740879,York
dayTuesday,-13.93556476,1.197353494,-11.63863874,2.67E-18,-16.32188683,-11.54924269,York
dayWednesday,-14.43306704,1.197202764,-12.05565797,4.87E-19,-16.81908871,-12.04704537,York
bank_holiday,-13.46188992,1.574933381,-8.547593235,1.32E-12,-16.60072762,-10.32305221,York
days_since_lockdown,0.22477501,0.013433764,16.73209456,1.09E-26,0.198001557,0.251548463,York
