,Estimate,Std. Error,t value,Pr(>|t|),2.50%,97.50%,region
dayWednesday,-16.54263711,1.127734175,-14.66891532,1.84E-23,-18.79020808,-14.29506614,Redcar and Cleveland
bank_holiday,-19.0299398,1.48354669,-12.82732787,2.20E-20,-21.98664409,-16.07323551,Redcar and Cleveland
days_since_lockdown,0.323816691,0.01265426,25.5895403,3.45E-38,0.298596787,0.349036594,Redcar and Cleveland
(Intercept),-57.90978367,1.09590287,-52.84207684,9.57E-59,-60.09495193,-55.72461541,Rutland
dayFriday,-12.33662217,1.339762685,-9.208065211,9.70E-14,-15.00803309,-9.665211247,Rutland
dayMonday,-12.04010752,1.343247538,-8.963431663,2.74E-13,-14.71846704,-9.361747996,Rutland
daySaturday,-1.420601897,1.310067008,-1.084373462,0.281867747,-4.032801319,1.191597525,Rutland
dayThursday,-13.75716722,1.308645453,-10.51252437,4.05E-16,-16.36653214,-11.1478023,Rutland
dayTuesday,-13.23769777,1.336357675,-9.905804428,5.09E-15,-15.9023193,-10.57307625,Rutland
dayWednesday,-13.34593026,1.337215773,-9.980386513,3.73E-15,-16.01226279,-10.67959774,Rutland
bank_holiday,-19.76357435,1.677430772,-11.78205067,2.27E-18,-23.10827631,-16.41887239,Rutland
days_since_lockdown,0.290050672,0.014711656,19.71570472,1.63E-30,0.260716463,0.319384882,Rutland
(Intercept),-52.10713262,1.144096992,-45.54433145,2.36E-55,-54.38731464,-49.8269506,Shropshire
dayFriday,-16.9176278,1.375263911,-12.30136824,1.80E-19,-19.65852482,-14.17673078,Shropshire
dayMonday,-17.12115546,1.375729332,-12.44514823,1.01E-19,-19.86298007,-14.37933086,Shropshire
daySaturday,-4.098824114,1.342178197,-3.053859855,0.003151944,-6.773781402,-1.423866825,Shropshire
dayThursday,-17.62980567,1.342884641,-13.12830986,6.71E-21,-20.3061709,-14.95344045,Shropshire
dayTuesday,-17.87929678,1.372447324,-13.02731002,9.99E-21,-20.61458035,-15.1440132,Shropshire
dayWednesday,-17.74259387,1.372274552,-12.92933243,1.47E-20,-20.47753311,-15.00765464,Shropshire
bank_holiday,-20.68012255,1.805242242,-11.4555942,5.67E-18,-24.27796515,-17.08227996,Shropshire
days_since_lockdown,0.317842553,0.015398238,20.64148917,3.39E-32,0.28715391,0.348531196,Shropshire
(Intercept),-55.27396566,1.173485124,-47.10239994,2.20E-56,-57.61271814,-52.93521318,Slough
dayFriday,-15.73087841,1.41058997,-11.15198516,1.99E-17,-18.54218016,-12.91957665,Slough
dayMonday,-17.70148637,1.411067346,-12.54474948,6.79E-20,-20.51373953,-14.8892332,Slough
daySaturday,1.795758209,1.376654391,1.30443648,0.196182504,-0.947910037,4.539426454,Slough
