"","Estimate","Std. Error","t value","Pr(>|t|)","2.5 %","97.5 %","region"
"(Intercept)",-45.3506944804801,1.15393974335631,-39.30074749707,2.18276212866689e-61,-47.6409454443824,-43.0604435165778,"Bath and North East Somerset"
"dayFriday",-15.386306713023,1.37437569712537,-11.1951242627506,3.61010191813566e-19,-18.1140620254018,-12.6585514006441,"Bath and North East Somerset"
"dayMonday",-16.7986101741823,1.37343092853756,-12.2311285009939,2.29027224872076e-21,-19.5244903824395,-14.0727299659251,"Bath and North East Somerset"
"daySaturday",3.40410115371976,1.3612658542178,2.5006879759544,0.0140716164539984,0.702365250524556,6.10583705691497,"Bath and North East Somerset"
"dayThursday",-15.9876965388407,1.36168958358011,-11.741072805159,2.48271278536713e-20,-18.6902734275259,-13.2851196501556,"Bath and North East Somerset"
"dayTuesday",-16.8082023074395,1.36142476818352,-12.3460382830157,1.3137007839901e-21,-19.510253610867,-14.1061510040119,"Bath and North East Somerset"
"dayWednesday",-16.1771160898067,1.33978857167893,-12.0743798176564,4.89771019036969e-21,-18.8362255323745,-13.518006647239,"Bath and North East Somerset"
"bank_holiday1",-28.0823646930621,2.76541231058422,-10.154856324889,6.21006897150909e-17,-33.5709426247671,-22.5937867613571,"Bath and North East Somerset"
"days_since_lockdown",0.137434487053085,0.0120093514148591,11.4439558228797,1.06292765491003e-19,0.113599248851024,0.161269725255145,"Bath and North East Somerset"
"(Intercept)1",-22.8825852316952,1.23527503695742,-18.5242836996503,1.270867960057e-33,-25.3342642386489,-20.4309062247416,"Bedford"
"dayFriday1",-24.4559709753861,1.47124839042457,-16.6225982876546,3.83930887785054e-30,-27.3759917682475,-21.5359501825247,"Bedford"
"dayMonday1",-27.0694506425891,1.47023702994502,-18.4116234942072,2.01722069509259e-33,-29.9874641648573,-24.1514371203208,"Bedford"
"daySaturday1",-3.97328455537681,1.45721450193483,-2.72662984763139,0.00759413764030781,-6.86545196436268,-1.08111714639093,"Bedford"
"dayThursday1",-26.5198536661305,1.45766809780645,-18.1933416159951,4.96006368153531e-33,-29.4129213373598,-23.6267859949011,"Bedford"
"dayTuesday1",-26.7867642225797,1.45738461693087,-18.3800239905032,2.29698077133203e-33,-29.6792692627425,-23.8942591824169,"Bedford"
"dayWednesday1",-25.9574756110217,1.43422339591331,-18.0986279299203,7.34237767824821e-33,-28.8040120388146,-23.1109391832289,"Bedford"
"bank_holiday11",-36.3589720305122,2.96033203971607,-12.2820587497339,1.78992139154249e-21,-42.2344116680367,-30.4835323929876,"Bedford"
"days_since_lockdown1",0.160048777956515,0.0128558289964747,12.4495104905644,7.97228716781712e-22,0.13453351607178,0.185564039841249,"Bedford"
"(Intercept)2",-22.7765900403023,1.0936863842466,-20.8255221683064,1.42377999551137e-37,-24.9472547653443,-20.6059253152603,"Blackburn with Darwen"
"dayFriday2",-20.4640720945115,1.30261219915476,-15.7100264436264,2.11348186320113e-28,-23.0493967285587,-17.8787474604644,"Blackburn with Darwen"
"dayMonday2",-20.3419922854721,1.3017167619825,-15.6270495084442,3.05873961547755e-28,-22.9255397246018,-17.7584448463424,"Blackburn with Darwen"
"daySaturday2",-4.37402660301315,1.29018689118685,-3.39022713134953,0.00101128337468343,-6.93469044024298,-1.81336276578332,"Blackburn with Darwen"
"dayThursday2",-21.4554131423728,1.2905884953753,-16.6245191393354,3.80747752640935e-30,-24.0168740527471,-18.8939522319985,"Blackburn with Darwen"
"dayTuesday2",-21.5186134606403,1.29033750740539,-16.6767325115659,3.03690907970747e-30,-24.0795762293713,-18.9576506919094,"Blackburn with Darwen"
"dayWednesday2",-20.5870133015065,1.26983105231517,-16.2124034248273,2.29636983269946e-29,-23.107276433357,-18.0667501696561,"Blackburn with Darwen"
"bank_holiday12",-39.2597166727207,2.62101535918759,-14.9788197673475,5.65685867928933e-27,-44.4617066269991,-34.0577267184423,"Blackburn with Darwen"
"days_since_lockdown2",0.15930673032017,0.0113822790155936,13.9960310322671,5.19964913387345e-25,0.136716057248241,0.181897403392099,"Blackburn with Darwen"
"(Intercept)3",-34.3023403040838,0.960860106623352,-35.6996196091738,1.34286702128265e-57,-36.209381636215,-32.3952989719526,"Blackpool"
"dayFriday3",-6.96983723384012,1.144412250712,-6.09032036270478,2.26503344588366e-08,-9.24117876218668,-4.69849570549356,"Blackpool"
"dayMonday3",-7.67248542715307,1.14362556280109,-6.70891389342571,1.31515198098084e-09,-9.94226559776269,-5.40270525654344,"Blackpool"
"daySaturday3",0.211993842215422,1.13349597442764,0.187026550599324,0.85203044655138,-2.03768189948464,2.46166958391548,"Blackpool"
