,Estimate,Std. Error,t value,Pr(>|t|),2.50%,0.975,region
days_since_lockdown,0.153061224,0.036450145,4.20E+00,0.00044155,0.077027554,0.229094895,Warwickshire
days_since_lockdown,0.195918367,0.043253753,4.53E+00,0.000204239,0.10569262,0.286144115,West Berkshire
days_since_lockdown,0.136734694,0.034440854,3.97E+00,0.000754409,0.064892331,0.208577057,West Midlands
days_since_lockdown,0.171428571,0.040979267,4.18E+00,0.000458267,0.085947319,0.256909824,West Sussex
days_since_lockdown,0.167346939,0.029560152,5.66E+00,1.53396E-05,0.105685542,0.229008335,West Yorkshire
days_since_lockdown,0.163265306,0.043460285,3.76E+00,0.001241945,0.072608741,0.253921871,Wiltshire
days_since_lockdown,0.12244898,0.043794416,2.80E+00,0.011155408,0.031095429,0.21380253,Windsor and Maidenhead
days_since_lockdown,0.118367347,0.037397646,3.17E+00,0.004868568,0.040357224,0.196377469,Wokingham
days_since_lockdown,0.189795918,0.037977832,5.00E+00,6.91193E-05,0.11057555,0.269016287,Worcestershire
days_since_lockdown,0.22244898,0.043827689,5.08E+00,5.77893E-05,0.131026023,0.313871936,York
