,Estimate,Std. Error,t value,Pr(>|t|),2.50%,97.50%,region
days_since_lockdown,0.127927975,0.009807964,13.04327588,4.63E-23,0.108461882,0.147394067,Tyne and Wear
days_since_lockdown,0.135587152,0.01064459,12.73765846,1.99E-22,0.114460587,0.156713716,Warrington
days_since_lockdown,0.150858803,0.013119278,11.49901747,8.11E-20,0.124820669,0.176896938,Warwickshire
days_since_lockdown,0.154283639,0.013120749,11.75875278,2.28E-20,0.128242585,0.180324693,West Berkshire
days_since_lockdown,0.144564371,0.012845125,11.25441572,2.70E-19,0.119070355,0.170058388,West Midlands
days_since_lockdown,0.165907322,0.011828162,14.02646692,4.51E-25,0.142431695,0.189382949,West Sussex
days_since_lockdown,0.146800893,0.012154246,12.07815751,4.81E-21,0.12267808,0.170923706,West Yorkshire
days_since_lockdown,0.163852421,0.014366292,11.40533803,1.28E-19,0.135339307,0.192365534,Wiltshire
days_since_lockdown,0.147568886,0.012085757,12.21014875,2.54E-21,0.123582005,0.171555767,Windsor and Maidenhead
days_since_lockdown,0.162082923,0.015321226,10.57897857,7.57E-18,0.13167453,0.192491315,Wokingham
days_since_lockdown,0.145311608,0.013683633,10.61937368,6.20E-18,0.118153385,0.172469831,Worcestershire
days_since_lockdown,0.154994551,0.011063761,14.00921041,4.89E-25,0.133036049,0.176953054,York
