"","acf","lag","n","upper_ci","lower_ci"
"1",0.0991783969512645,32,761,0.0725912586866686,-0.0725912586866686
"2",0.131875752027233,33,761,0.0726410982110342,-0.0726410982110342
"3",0.162845421507096,34,761,0.0726910405326514,-0.0726910405326514
"4",0.190621822325787,35,761,0.0727410860053835,-0.0727410860053835
"5",0.214779218172933,36,761,0.0727912349848014,-0.0727912349848014
"6",0.234766377330778,37,761,0.0728414878281947,-0.0728414878281947
"7",0.246869725113984,38,761,0.0728918448945814,-0.0728918448945814
"8",0.255517789281838,39,761,0.0729423065447199,-0.0729423065447199
"9",0.261631517699588,40,761,0.0729928731411188,-0.0729928731411188
"10",0.26549447949671,41,761,0.0730435450480484,-0.0730435450480484
"11",0.267277079779112,42,761,0.0730943226315519,-0.0730943226315519
"12",0.267036203439501,43,761,0.0731452062594558,-0.0731452062594558
"13",0.266503984712223,44,761,0.0731961963013817,-0.0731961963013817
"14",0.265344518094026,45,761,0.0732472931287574,-0.0732472931287574
"15",0.263098143589815,46,761,0.0732984971148282,-0.0732984971148282
"16",0.259700150546438,47,761,0.0733498086346684,-0.0733498086346684
"17",0.255465173468479,48,761,0.0734012280651927,-0.0734012280651927
"18",0.250701565201014,49,761,0.0734527557851682,-0.0734527557851682
"19",0.245710051548819,50,761,0.0735043921752258,-0.0735043921752258
"20",0.241293789213668,51,761,0.073556137617872,-0.073556137617872
"21",0.237337458668585,52,761,0.073607992497501,-0.073607992497501
"22",0.233731197663885,53,761,0.0736599572004065,-0.0736599572004065
"23",0.230489800051296,54,761,0.0737120321147938,-0.0737120321147938
"24",0.227631500209865,55,761,0.0737642176307923,-0.0737642176307923
"25",0.224921185365588,56,761,0.0738165141404674,-0.0738165141404674
"26",0.222518632189688,57,761,0.0738689220378328,-0.0738689220378328
"27",0.220456254087932,58,761,0.0739214417188635,-0.0739214417188635
"28",0.219024954263727,59,761,0.0739740735815079,-0.0739740735815079
"29",0.218247942268784,60,761,0.0740268180257004,-0.0740268180257004
"30",0.217881361155699,61,761,0.0740796754533747,-0.0740796754533747
"31",0.217796365169712,62,761,0.074132646268476,-0.074132646268476
"32",0.218102769379049,63,761,0.0741857308769745,-0.0741857308769745
"33",0.218757981734426,64,761,0.0742389296868783,-0.0742389296868783
"34",0.219827003949542,65,761,0.0742922431082463,-0.0742922431082463
"35",0.220975151074413,66,761,0.0743456715532019,-0.0743456715532019
"36",0.221988384772162,67,761,0.0743992154359461,-0.0743992154359461
"37",0.22291377480375,68,761,0.0744528751727711,-0.0744528751727711
"38",0.223798921116897,69,761,0.0745066511820739,-0.0745066511820739
"39",0.224568942059179,70,761,0.0745605438843698,-0.0745605438843698
"40",0.225162575628791,71,761,0.0746145537023065,-0.0746145537023065
"41",0.225522012148575,72,761,0.074668681060678,-0.074668681060678
"42",0.225602949714808,73,761,0.0747229263864384,-0.0747229263864384
"43",0.225368855974935,74,761,0.0747772901087161,-0.0747772901087161
"44",0.224920234376205,75,761,0.0748317726588284,-0.0748317726588284
"45",0.224235311068057,76,761,0.0748863744702953,-0.0748863744702953
"46",0.223302494596687,77,761,0.0749410959788545,-0.0749410959788545
"47",0.221984311952018,78,761,0.0749959376224757,-0.0749959376224757
"48",0.220161868064683,79,761,0.0750508998413755,-0.0750508998413755
"49",0.218107601293085,80,761,0.0751059830780322,-0.0751059830780322
"50",0.215844208997303,81,761,0.0751611877772005,-0.0751611877772005
"51",0.213531063457654,82,761,0.075216514385927,-0.075216514385927
"52",0.211073190015888,83,761,0.0752719633535653,-0.0752719633535653
"53",0.208507866570145,84,761,0.075327535131791,-0.075327535131791
"54",0.205999484384554,85,761,0.0753832301746175,-0.0753832301746175
"55",0.203454040989951,86,761,0.0754390489384114,-0.0754390489384114
"56",0.200774939492199,87,761,0.0754949918819086,-0.0754949918819086
"57",0.199130181941643,88,761,0.0755510594662293,-0.0755510594662293
"58",0.198376560460739,89,761,0.075607252154895,-0.075607252154895
"59",0.198480943112324,90,761,0.0756635704138437,-0.0756635704138437
"60",0.199517018139666,91,761,0.0757200147114465,-0.0757200147114465
"61",0.20128554034575,92,761,0.0757765855185243,-0.0757765855185243
"62",0.202549683448887,93,761,0.0758332833083636,-0.0758332833083636
"63",0.203240315563808,94,761,0.0758901085567336,-0.0758901085567336
"64",0.202524816323971,95,761,0.0759470617419029,-0.0759470617419029
"65",0.200357355342008,96,761,0.0760041433446564,-0.0760041433446564
"66",0.196837158643915,97,761,0.0760613538483121,-0.0760613538483121
"67",0.191817646151626,98,761,0.0761186937387387,-0.0761186937387387
"68",0.185302694622491,99,761,0.0761761635043725,-0.0761761635043725
"69",0.178077960014166,100,761,0.0762337636362355,-0.0762337636362355
"70",0.170289326618981,101,761,0.0762914946279522,-0.0762914946279522
"71",0.161702503636697,102,761,0.0763493569757679,-0.0763493569757679
"72",0.152482222337234,103,761,0.0764073511785666,-0.0764073511785666
"73",0.142663749620602,104,761,0.076465477737889,-0.076465477737889
"74",0.132274108920283,105,761,0.0765237371579505,-0.0765237371579505
"75",0.121344633112158,106,761,0.0765821299456598,-0.0765821299456598
"76",0.110040273564538,107,761,0.0766406566106376,-0.0766406566106376
"77",0.0982594873277716,108,761,0.0766993176652348,-0.0766993176652348
"78",0.0862872688469947,109,761,0.0767581136245516,-0.0767581136245516
