"","start_date","end_date","dtw_lag"
"results",2020-05-01,2020-09-01,46.3259856372936
"results.1",2020-05-08,2020-09-08,43.9071850149545
"results.2",2020-05-15,2020-09-15,40.9923849590069
"results.3",2020-05-22,2020-09-22,32.8496392914288
"results.4",2020-05-29,2020-09-29,29.1877991349999
"results.5",2020-06-05,2020-10-06,28.3660361389397
"results.6",2020-06-12,2020-10-13,24.7497363098584
"results.7",2020-06-19,2020-10-20,24.7367930182993
"results.8",2020-06-26,2020-10-27,24.1902717838744
"results.9",2020-07-03,2020-11-03,25.3076449583787
"results.10",2020-07-10,2020-11-10,27.9499253981353
"results.11",2020-07-17,2020-11-17,29.9357636506717
"results.12",2020-07-24,2020-11-24,31.5507822334752
"results.13",2020-07-31,2020-12-01,32.4650752102832
"results.14",2020-08-07,2020-12-08,22.3135415346408
"results.15",2020-08-14,2020-12-15,23.4540796277614
"results.16",2020-08-21,2020-12-22,24.9914255328146
"results.17",2020-08-28,2020-12-29,28.4524665408559
"results.18",2020-09-04,2021-01-05,32.586369569091
"results.19",2020-09-11,2021-01-12,38.4241197748616
"results.20",2020-09-18,2021-01-19,45.2920611223155
"results.21",2020-09-25,2021-01-26,44.016751585432
"results.22",2020-10-02,2021-02-02,32.0978818422283
"results.23",2020-10-09,2021-02-09,30.8849037938462
"results.24",2020-10-16,2021-02-16,27.0956759129761
"results.25",2020-10-23,2021-02-23,25.130300373742
"results.26",2020-10-30,2021-03-02,22.8046065308902
"results.27",2020-11-06,2021-03-09,23.1556757289938
"results.28",2020-11-13,2021-03-16,25.7209212269286
"results.29",2020-11-20,2021-03-23,28.5018025517995
"results.30",2020-11-27,2021-03-30,31.2418223981034
"results.31",2020-12-04,2021-04-06,23.2898512374436
"results.32",2020-12-11,2021-04-13,26.6853541112975
"results.33",2020-12-18,2021-04-20,34.1942863381526
"results.34",2020-12-25,2021-04-27,42.2001534826132
"results.35",2021-01-01,2021-05-04,33.3654178250033
"results.36",2021-01-08,2021-05-11,34.164543749774
"results.37",2021-01-15,2021-05-18,36.2947945050761
"results.38",2021-01-22,2021-05-25,37.6275751803286
"results.39",2021-01-29,2021-06-01,32.1217693671067
"results.40",2021-02-05,2021-06-08,27.7061306297359
"results.41",2021-02-12,2021-06-15,26.8416722176404
"results.42",2021-02-19,2021-06-22,23.5382217711856
"results.43",2021-02-26,2021-06-29,21.4577897548238
"results.44",2021-03-05,2021-07-06,21.2336540000668
"results.45",2021-03-12,2021-07-13,21.1257578339631
"results.46",2021-03-19,2021-07-20,22.7536305458625
"results.47",2021-03-26,2021-07-27,23.2768806934397
"results.48",2021-04-02,2021-08-03,23.9309688997478
"results.49",2021-04-09,2021-08-10,30.2327253737849
"results.50",2021-04-16,2021-08-17,29.5651819839421
"results.51",2021-04-23,2021-08-24,27.8723567887874
"results.52",2021-04-30,2021-08-31,26.3740451967939
"results.53",2021-05-07,2021-09-07,35.7156361692867
"results.54",2021-05-14,2021-09-14,32.8245390545271
"results.55",2021-05-21,2021-09-21,29.8610314248822
"results.56",2021-05-28,2021-09-28,23.675208280257
"results.57",2021-06-04,2021-10-05,26.7172941736995
"results.58",2021-06-11,2021-10-12,28.5810324019914
"results.59",2021-06-18,2021-10-19,26.0696275954558
