,Whole period,,,,,,Lockdown 1,,,,,,,Lockdown 2,,,,,,,Lockdown 3,Lockdown 3,,,,,
England,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Retail,Grocery and Pharmacy,Parks,Transit Stations,Workplaces,Residential,0,Retail,Grocery and Pharmacy,Parks,Transit Stations,Workplaces,Residential,0,Retail,Grocery and Pharmacy,Parks,Transit Stations,Workplaces,Residential,0,Retail,Grocery and Pharmacy,Parks,Transit Stations,Workplaces,Residential
North West,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail,1.00,,,,,,Retail,1.00,,,,,,Retail,1.00,,,,,,Retail,1.00,,,,,
Grocery and Pharmacy,0.85,1.00,,,,,Grocery and Pharmacy,0.97,1.00,,,,,Grocery and Pharmacy,0.96,1.00,,,,,Grocery and Pharmacy,0.89,1.00,,,,
Parks,0.48,0.45,1.00,,,,Parks,0.90,0.95,1.00,,,,Parks,-0.66,-0.66,1.00,,,,Parks,0.88,0.83,1.00,,,
Transit Stations,0.95,0.84,0.55,1.00,,,Transit Stations,0.97,0.99,0.96,1.00,,,Transit Stations,0.96,0.97,-0.51,1.00,,,Transit Stations,0.98,0.88,0.88,1.00,,
Workplaces,0.80,0.81,0.22,0.84,1.00,,Workplaces,0.97,0.93,0.81,0.93,1.00,,Workplaces,0.95,0.93,-0.55,0.97,1.00,,Workplaces,0.71,0.75,0.43,0.74,1.00,
Residential,-0.95,-0.87,-0.43,-0.95,-0.92,1.00,Residential,-0.99,-0.98,-0.90,-0.98,-0.98,1.00,Residential,-0.96,-0.94,0.50,-0.98,-0.99,1.00,Residential,-0.97,-0.91,-0.83,-0.98,-0.83,1.00
South East,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail,1.00,,,,,,Retail,1.00,,,,,,Retail,1.00,,,,,,Retail,1.00,,,,,
Grocery and Pharmacy,0.87,1.00,,,,,Grocery and Pharmacy,0.98,1.00,,,,,Grocery and Pharmacy,0.96,1.00,,,,,Grocery and Pharmacy,0.88,1.00,,,,
Parks,0.38,0.32,1.00,,,,Parks,0.90,0.94,1.00,,,,Parks,-0.04,-0.10,1.00,,,,Parks,0.88,0.88,1.00,,,
Transit Stations,0.95,0.85,0.42,1.00,,,Transit Stations,0.99,0.98,0.93,1.00,,,Transit Stations,0.97,0.94,0.16,1.00,,,Transit Stations,0.97,0.92,0.91,1.00,,
