"","Retail","Grocery and Pharmacy","Parks","Transit Stations","Workplaces","Residential"
"","England Lockdown 3","England Lockdown 3","England Lockdown 3","England Lockdown 3","England Lockdown 3","England Lockdown 3"
"Retail","1","0.89","0.89","0.98","0.71","-0.95"
"Grocery and Pharmacy","0.89","1","0.87","0.91","0.78","-0.93"
"Parks","0.89","0.87","1","0.91","0.53","-0.88"
"Transit Stations","0.98","0.91","0.91","1","0.76","-0.99"
"Workplaces","0.71","0.78","0.53","0.76","1","-0.84"
"Residential","-0.95","-0.93","-0.88","-0.99","-0.84","1"
"","East of England Lockdown 3","East of England Lockdown 3","East of England Lockdown 3","East of England Lockdown 3","East of England Lockdown 3","East of England Lockdown 3"
"Retail","1","0.9","0.87","0.98","0.76","-0.96"
"Grocery and Pharmacy","0.9","1","0.86","0.91","0.73","-0.92"
"Parks","0.87","0.86","1","0.85","0.46","-0.81"
"Transit Stations","0.98","0.91","0.85","1","0.82","-0.99"
"Workplaces","0.76","0.73","0.46","0.82","1","-0.88"
"Residential","-0.96","-0.92","-0.81","-0.99","-0.88","1"
"","East Midlands Lockdown 3","East Midlands Lockdown 3","East Midlands Lockdown 3","East Midlands Lockdown 3","East Midlands Lockdown 3","East Midlands Lockdown 3"
"Retail","1","0.88","0.89","0.97","0.7","-0.95"
"Grocery and Pharmacy","0.88","1","0.87","0.9","0.75","-0.92"
"Parks","0.89","0.87","1","0.89","0.5","-0.86"
"Transit Stations","0.97","0.9","0.89","1","0.78","-0.99"
"Workplaces","0.7","0.75","0.5","0.78","1","-0.84"
"Residential","-0.95","-0.92","-0.86","-0.99","-0.84","1"
"","London Lockdown 3","London Lockdown 3","London Lockdown 3","London Lockdown 3","London Lockdown 3","London Lockdown 3"
"Retail","1","0.87","0.79","0.96","0.75","-0.93"
"Grocery and Pharmacy","0.87","1","0.89","0.95","0.85","-0.96"
"Parks","0.79","0.89","1","0.86","0.64","-0.88"
"Transit Stations","0.96","0.95","0.86","1","0.86","-1"
"Workplaces","0.75","0.85","0.64","0.86","1","-0.87"
"Residential","-0.93","-0.96","-0.88","-1","-0.87","1"
"","North East Lockdown 3","North East Lockdown 3","North East Lockdown 3","North East Lockdown 3","North East Lockdown 3","North East Lockdown 3"
"Retail","1","0.89","0.87","0.98","0.77","-0.97"
"Grocery and Pharmacy","0.89","1","0.87","0.87","0.74","-0.89"
"Parks","0.87","0.87","1","0.86","0.5","-0.82"
"Transit Stations","0.98","0.87","0.86","1","0.82","-0.99"
"Workplaces","0.77","0.74","0.5","0.82","1","-0.88"
"Residential","-0.97","-0.89","-0.82","-0.99","-0.88","1"
"","North West Lockdown 3","North West Lockdown 3","North West Lockdown 3","North West Lockdown 3","North West Lockdown 3","North West Lockdown 3"
"Retail","1","0.89","0.88","0.98","0.71","-0.97"
"Grocery and Pharmacy","0.89","1","0.83","0.88","0.75","-0.91"
"Parks","0.88","0.83","1","0.88","0.43","-0.83"
"Transit Stations","0.98","0.88","0.88","1","0.74","-0.98"
"Workplaces","0.71","0.75","0.43","0.74","1","-0.83"
"Residential","-0.97","-0.91","-0.83","-0.98","-0.83","1"
"","South East Lockdown 3","South East Lockdown 3","South East Lockdown 3","South East Lockdown 3","South East Lockdown 3","South East Lockdown 3"
"Retail","1","0.88","0.88","0.97","0.7","-0.94"
"Grocery and Pharmacy","0.88","1","0.88","0.92","0.8","-0.94"
"Parks","0.88","0.88","1","0.91","0.57","-0.88"
"Transit Stations","0.97","0.92","0.91","1","0.76","-0.99"
"Workplaces","0.7","0.8","0.57","0.76","1","-0.85"
"Residential","-0.94","-0.94","-0.88","-0.99","-0.85","1"
"","South West Lockdown 3","South West Lockdown 3","South West Lockdown 3","South West Lockdown 3","South West Lockdown 3","South West Lockdown 3"
"Retail","1","0.89","0.92","0.97","0.67","-0.94"
"Grocery and Pharmacy","0.89","1","0.89","0.94","0.78","-0.94"
"Parks","0.92","0.89","1","0.96","0.56","-0.92"
"Transit Stations","0.97","0.94","0.96","1","0.74","-0.99"
"Workplaces","0.67","0.78","0.56","0.74","1","-0.81"
"Residential","-0.94","-0.94","-0.92","-0.99","-0.81","1"
"","West Midlands Lockdown 3","West Midlands Lockdown 3","West Midlands Lockdown 3","West Midlands Lockdown 3","West Midlands Lockdown 3","West Midlands Lockdown 3"
"Retail","1","0.88","0.9","0.97","0.62","-0.94"
"Grocery and Pharmacy","0.88","1","0.85","0.89","0.76","-0.93"
"Parks","0.9","0.85","1","0.9","0.45","-0.85"
"Transit Stations","0.97","0.89","0.9","1","0.7","-0.98"
"Workplaces","0.62","0.76","0.45","0.7","1","-0.82"
"Residential","-0.94","-0.93","-0.85","-0.98","-0.82","1"
"","Yorkshire and the Humber Lockdown 3","Yorkshire and the Humber Lockdown 3","Yorkshire and the Humber Lockdown 3","Yorkshire and the Humber Lockdown 3","Yorkshire and the Humber Lockdown 3","Yorkshire and the Humber Lockdown 3"
"Retail","1","0.9","0.91","0.99","0.71","-0.97"
"Grocery and Pharmacy","0.9","1","0.89","0.89","0.71","-0.92"
"Parks","0.91","0.89","1","0.9","0.49","-0.87"
"Transit Stations","0.99","0.89","0.9","1","0.74","-0.98"
"Workplaces","0.71","0.71","0.49","0.74","1","-0.83"
"Residential","-0.97","-0.92","-0.87","-0.98","-0.83","1"
