"","Retail","Grocery and Pharmacy","Parks","Transit Stations","Workplaces","Residential"
"Retail",1,0.89,0.88,0.98,0.71,-0.97
"Grocery and Pharmacy",0.89,1,0.83,0.88,0.75,-0.91
"Parks",0.88,0.83,1,0.88,0.43,-0.83
"Transit Stations",0.98,0.88,0.88,1,0.74,-0.98
"Workplaces",0.71,0.75,0.43,0.74,1,-0.83
"Residential",-0.97,-0.91,-0.83,-0.98,-0.83,1
