"","Retail","Grocery and Pharmacy","Parks","Transit Stations","Workplaces","Residential"
"Retail",1,0.88,0.9,0.97,0.62,-0.94
"Grocery and Pharmacy",0.88,1,0.85,0.89,0.76,-0.93
"Parks",0.9,0.85,1,0.9,0.45,-0.85
"Transit Stations",0.97,0.89,0.9,1,0.7,-0.98
"Workplaces",0.62,0.76,0.45,0.7,1,-0.82
"Residential",-0.94,-0.93,-0.85,-0.98,-0.82,1
