"","Retail","Grocery and Pharmacy","Parks","Transit Stations","Workplaces","Residential"
"Retail",1,0.9,0.87,0.98,0.76,-0.96
"Grocery and Pharmacy",0.9,1,0.86,0.91,0.73,-0.92
"Parks",0.87,0.86,1,0.85,0.46,-0.81
"Transit Stations",0.98,0.91,0.85,1,0.82,-0.99
"Workplaces",0.76,0.73,0.46,0.82,1,-0.88
"Residential",-0.96,-0.92,-0.81,-0.99,-0.88,1
