"","Retail","Grocery and Pharmacy","Parks","Transit Stations","Workplaces","Residential"
"Retail",1,0.9,0.91,0.99,0.71,-0.97
"Grocery and Pharmacy",0.9,1,0.89,0.89,0.71,-0.92
"Parks",0.91,0.89,1,0.9,0.49,-0.87
"Transit Stations",0.99,0.89,0.9,1,0.74,-0.98
"Workplaces",0.71,0.71,0.49,0.74,1,-0.83
"Residential",-0.97,-0.92,-0.87,-0.98,-0.83,1
