"","X","date","region","retail_recreation","grocery_pharmacy","parks","transit_stations","workplaces","residential","retail_recreation_av","grocery_pharmacy_av","parks_av","transit_stations_av","workplaces_av","residential_av"
"new.217",NA,2020-02-15,"ENGLAND",-11.3919276554631,-5.8998465117155,-37.6364494565848,-10.8576773236154,-3.9532888871415,2.39233386701181,NA,NA,NA,NA,NA,NA
"new.218",NA,2020-02-16,"ENGLAND",-8.42394266411756,-5.84121948330028,-33.0818157013102,-7.20053402676035,-3.23251695410128,1.31107520250191,NA,NA,NA,NA,NA,NA
"new.219",NA,2020-02-17,"ENGLAND",10.9276780054376,1.60208676401891,26.3811019354091,1.16343815746644,-15.5257367542718,2.26270924938559,NA,NA,NA,NA,NA,NA
"new.299",NA,2020-02-18,"ENGLAND",10.3045837516787,-0.392398292659769,22.8459334211094,-0.574094931303555,-14.8442758234183,2.48734381836368,3.10031063128246,-1.89355809399231,0.429225308047699,-3.22666826200853,-12.2235140123297,2.41562037794954
"new.300",NA,2020-02-19,"ENGLAND",7.2661788198847,-1.52437580215207,7.47152336726504,-2.10897625302565,-15.228921885544,2.64446301781077,4.41408666534038,-1.22338187126638,5.20093257529123,-1.31098742631324,-11.923694647218,2.11674635227971
"new.293",NA,2020-02-20,"ENGLAND",6.92140609180483,-0.978351452006179,2.71346049933072,-3.67519651620069,-16.1506278005726,3.07102819800201,5.28992156432407,-0.603308946089396,8.83752760255575,0.568301606649664,-11.606407106245,1.90422800667438
"new.294",NA,2020-02-21,"ENGLAND",6.098198069752,-0.220801880131311,14.3108230911146,0.666363059379473,-16.6292299812587,2.74038929257103,3.22324572933294,-0.899100076645181,3.68301642749067,0.227612279318057,-9.63233678664643,1.77920983666338
"new.295",NA,2020-02-22,"ENGLAND",-2.19549541705769,-1.20861295263394,-4.23449858588006,2.55208852625162,-1.85455333135963,0.300215687322966,1.81940113765403,-0.0834018983823985,0.705856292917866,0.480681276455664,-7.38803943437112,1.47887780757568
"new.296",NA,2020-02-23,"ENGLAND",-2.29309837123173,-1.50070900706141,-7.6256505104586,5.95448920398001,-1.01150416729016,-0.176553216735352,0.90551676063144,0.115335486966179,0.0816418504185609,0.743042409901414,-5.11342767401399,1.14826990067407
"new.297",NA,2020-02-24,"ENGLAND",-3.53905283950024,-0.468451149871586,-9.70047629004647,-1.2213871338548,-1.70724451708169,1.38758205930854,0.252615662208381,0.496282781887074,0.386282296069126,1.37780502171512,-2.79402179520315,0.792564439981991
"new.298",NA,2020-02-25,"ENGLAND",0.477671609926364,5.31748895517971,2.00581247909979,1.19738804865969,0.865805642508844,0.38501961474977,-0.655666022196815,0.74328236169956,-3.87523671097628,1.54740527688589,-0.510897069438681,0.529206849461702
"new.106",NA,2020-02-26,"ENGLAND",0.868988180726544,-0.133214104712025,3.10202226976991,-0.272448318905395,0.693360436955923,0.330207669499525,0.0714759608968566,1.23721224340943,-5.6378985410902,1.24842603428292,-0.183810415451104,0.539501031442346
"new.107",NA,2020-02-27,"ENGLAND",2.35109840284342,1.68827961244008,4.84594361888467,0.768141766495259,0.0852133511033266,0.581089973157465,1.37211425851725,1.9451457487775,-2.61865585685756,1.43598665498326,0.157192404252155,0.453873837169228
"new.108",NA,2020-02-28,"ENGLAND",-0.25977372108438,1.50819517855609,-15.5198099582032,1.85356484557483,-0.647356900907379,0.896886158929007,2.60263075146294,2.67145921698956,0.843148193051485,1.99788944711482,0.522761881183713,0.26637141524234
"new.109",NA,2020-02-29,"ENGLAND",2.89449846459801,2.24889621933518,-16.5731313966775,0.459233828030881,0.435053246553407,0.372274961187471,3.07699120466724,2.37523704750241,2.09713928674497,1.87468114909843,0.561759216921495,0.224472661543604
"new.110",NA,2020-03-01,"ENGLAND",6.811369712111,3.45482553051505,13.5090482791699,7.26741354888235,1.37551557063265,-0.775943576647178,3.08349301200303,2.91986155310157,1.30435635820085,1.76084627501978,0.5476598067377,0.265642778608339
"new.30",NA,2020-03-02,"ENGLAND",5.0745626111196,4.6157431276128,14.5321520593169,2.71193241106613,0.85174182143922,0.0750651058203241,2.65955056237573,3.08277794484593,0.205693253681508,1.41386280031578,0.558340478010847,0.317838922943265
"new.31",NA,2020-03-03,"ENGLAND",3.79819478235651,3.2439337687697,10.7837501349542,0.334929962544949,1.13878699267332,0.0917283388586159,3.35479955709978,3.73321372741524,5.86931423527848,1.71270529561638,0.74123744328785,0.191963189172118
"new.45",NA,2020-03-04,"ENGLAND",0.91450083207702,3.67915743448209,-2.44745823003896,-1.06929243745595,0.594664565669352,0.618398488952668,3.070695930577,3.79140281497658,9.607302017454,2.21804176630307,0.939869452904582,0.119561892032105
"new.46",NA,2020-03-05,"ENGLAND",-0.616498744547669,2.82869435465058,-2.84469811275071,-1.66074255643274,0.15997805001536,0.94646298350195,2.66184471228643,3.83949173628652,9.7677555272017,1.97323246677557,0.9228427129066,0.145125473264667
"new.47",NA,2020-03-06,"ENGLAND",4.60696924198402,6.06124565654129,24.1255369129756,3.94546231267901,0.63292185603164,0.0157560225309729,1.96377210019528,3.77203119801632,8.525279617405,1.46179717604402,0.870021720387847,0.258736097433517
"new.61",NA,2020-03-07,"ENGLAND",0.90577307893849,2.65621983226455,9.59278307855112,3.99658912283776,1.82547731387053,-0.134534118792615,1.49253221813053,4.1084126238515,7.49942898615376,1.12932789504855,0.737675314485063,0.403823471458129
