,Estimate,Std. Error,t value,Pr(>|t|),2.50%,97.50%,mobility,region,,,,,,retail_recreation_av,,,,grocery_pharmacy_av,,,,transit_stations_av,,,,workplaces_av,,,
eval(parse(text = mobility_type))29,0.014995402,0.000954981,15.70231069,4.36E-44,0.013118291,0.016872514,transit_stations_av,London,,,,,,,,,,,,,,,,,,,,,
eval(parse(text = mobility_type))30,0.007896178,0.001043865,7.564369645,2.46E-13,0.005844356,0.009948,transit_stations_av,North East,,,,,,,,,,,,,,,,,,,,,
eval(parse(text = mobility_type))31,0.008830453,0.000612829,14.40931622,1.45E-38,0.007625874,0.010035031,transit_stations_av,North West,,,,,,,,,,,,,,,,,,,,,
eval(parse(text = mobility_type))32,0.009191224,0.000585578,15.69598126,4.65E-44,0.008040211,0.010342237,transit_stations_av,South East,,,,,,,,,,,,,,,,,,,,,
eval(parse(text = mobility_type))33,0.008389917,0.000561896,14.93143836,8.89E-41,0.007285453,0.009494381,transit_stations_av,South West,,,,,,,,,,,,,,,,,,,,,
eval(parse(text = mobility_type))34,0.008506891,0.000713558,11.92178705,1.93E-28,0.00710432,0.009909463,transit_stations_av,West Midlands,,,,,,,,,,,,,,,,,,,,,
eval(parse(text = mobility_type))35,0.008003664,0.000616021,12.99251426,1.06E-32,0.006792812,0.009214516,transit_stations_av,Yorkshire and The Humber,,,,,,,,,,,,,,,,,,,,,
eval(parse(text = mobility_type))36,0.012000352,0.000904645,13.26525986,8.21E-34,0.01022218,0.013778523,workplaces_av,East Midlands,,,,,,,,,,,,,,,,,,,,,
eval(parse(text = mobility_type))37,0.009199309,0.000867845,10.60017553,1.96E-23,0.007493471,0.010905146,workplaces_av,East of England,,,,,,,,,,,,,,,,,,,,,
eval(parse(text = mobility_type))38,0.015095387,0.001076757,14.01930713,6.28E-37,0.012978912,0.017211862,workplaces_av,London,,,,,,,,,,,,,,,,,,,,,
eval(parse(text = mobility_type))39,0.008167359,0.001303587,6.265297,9.19E-10,0.005605027,0.010729691,workplaces_av,North East,,,,,,,,,,,,,,,,,,,,,
eval(parse(text = mobility_type))40,0.010628013,0.001004435,10.58108905,2.30E-23,0.008653695,0.012602332,workplaces_av,North West,,,,,,,,,,,,,,,,,,,,,
eval(parse(text = mobility_type))41,0.010044515,0.000865811,11.60128175,3.37E-27,0.008342676,0.011746354,workplaces_av,South East,,,,,,,,,,,,,,,,,,,,,
eval(parse(text = mobility_type))42,0.009886611,0.001090215,9.068500357,4.60E-18,0.007743684,0.012029538,workplaces_av,South West,,,,,,,,,,,,,,,,,,,,,
eval(parse(text = mobility_type))43,0.008323864,0.001113736,7.473818941,4.54E-13,0.006134702,0.010513026,workplaces_av,West Midlands,,,,,,,,,,,,,,,,,,,,,
eval(parse(text = mobility_type))44,0.010521225,0.000922545,11.4045603,1.91E-26,0.008707868,0.012334582,workplaces_av,Yorkshire and The Humber,,,,,,,,,,,,,,,,,,,,,
