"","mob_index","r_index"
"1",1,1
"2",1,2
"3",1,3
"4",1,4
"5",1,5
"6",1,6
"7",1,7
"8",1,8
"9",2,8
"10",3,9
"11",4,9
"12",5,9
"13",6,9
"14",7,9
"15",8,9
"16",9,9
"17",10,9
"18",11,9
"19",12,9
"20",13,10
"21",13,11
"22",14,12
"23",14,13
"24",14,14
"25",15,15
"26",15,16
"27",16,17
"28",17,18
"29",18,19
"30",19,19
"31",20,19
"32",21,19
"33",22,19
"34",23,19
"35",24,20
"36",25,20
"37",26,21
"38",26,22
"39",27,23
"40",27,24
"41",28,25
"42",28,26
"43",29,27
"44",29,28
"45",29,29
"46",29,30
"47",30,30
"48",31,30
"49",32,30
"50",32,31
"51",33,31
"52",33,32
"53",33,33
"54",34,33
"55",34,34
"56",34,35
"57",35,35
