"","ccf","lag","upper_ci","lower_ci"
"1",-0.0488026344356771,-41,1.95996398454005,-1.95996398454005
"2",-0.0717425650576665,-40,1.38590382434968,-1.38590382434968
"3",-0.0708578172152171,-39,1.13158573407617,-1.13158573407617
"4",-0.0489385738176603,-38,0.979981992270027,-0.979981992270027
"5",-0.0144498441593427,-37,0.876522540576581,-0.876522540576581
"6",0.028775199526397,-36,0.800151946059218,-0.800151946059218
"7",0.0587286517286554,-35,0.740796754533746,-0.740796754533746
"8",0.0907640526357572,-34,0.692951912174839,-0.692951912174839
"9",0.123368833292474,-33,0.653321328180018,-0.653321328180018
"10",0.155325757601649,-32,0.619795032304561,-0.619795032304561
"11",0.189478914598909,-31,0.590951376302663,-0.590951376302663
"12",0.22726406796244,-30,0.565792867038086,-0.565792867038086
"13",0.278252175689901,-29,0.543596203409375,-0.543596203409375
"14",0.334980612581908,-28,0.523822408611799,-0.523822408611799
"15",0.370387961280219,-27,0.506060524752664,-0.506060524752664
"16",0.398400687288425,-26,0.489990996135013,-0.489990996135013
"17",0.417564135305633,-25,0.475361090039124,-0.475361090039124
"18",0.428815550979906,-24,0.461967941449893,-0.461967941449893
"19",0.431341675347509,-23,0.449646575873127,-0.449646575873127
"20",0.412822803161166,-22,0.438261270288291,-0.438261270288291
"21",0.361379656581411,-21,0.42769920564486,-0.42769920564486
"22",0.30691109610681,-20,0.417865725535136,-0.417865725535136
"23",0.243261645068114,-19,0.408680741809339,-0.408680741809339
"24",0.170649519280068,-18,0.400075973029609,-0.400075973029609
"25",0.0830178711414077,-17,0.391992796908011,-0.391992796908011
"26",-0.0107877246778738,-16,0.384380561658031,-0.384380561658031
"27",-0.0986752562566133,-15,0.377195244692057,-0.377195244692057
"28",-0.165128278005322,-14,0.370398377266873,-0.370398377266873
"29",-0.245894197119985,-13,0.363956174924007,-0.363956174924007
"30",-0.333681735961016,-12,0.357838828743431,-0.357838828743431
"31",-0.425975709234733,-11,0.352019923404918,-0.352019923404918
"32",-0.508051681601187,-10,0.346475956087419,-0.346475956087419
"33",-0.577576261989342,-9,0.341185936186322,-0.341185936186322
"34",-0.633111372812062,-8,0.336131050278893,-0.336131050278893
"35",-0.681329091826544,-7,0.331294380129737,-0.331294380129737
"36",-0.707531191917021,-6,0.326660664090009,-0.326660664090009
"37",-0.715326105085287,-5,0.322216094213358,-0.322216094213358
"38",-0.700120342033957,-4,0.317948142937199,-0.317948142937199
"39",-0.668671791237091,-3,0.313845414368861,-0.313845414368861
"40",-0.619481866125077,-2,0.309897516152281,-0.309897516152281
"41",-0.547081018408996,-1,0.306094948631802,-0.306094948631802
"42",-0.447606906359676,0,0.30242900861958,-0.30242900861958
"43",-0.41379404321441,1,0.306094948631802,-0.306094948631802
"44",-0.363411731399145,2,0.309897516152281,-0.309897516152281
"45",-0.299537619701335,3,0.313845414368861,-0.313845414368861
"46",-0.225917341614814,4,0.317948142937199,-0.317948142937199
"47",-0.14796298952519,5,0.322216094213358,-0.322216094213358
"48",-0.0695373086565677,6,0.326660664090009,-0.326660664090009
"49",0.00217125352235159,7,0.331294380129737,-0.331294380129737
"50",0.0698185118370627,8,0.336131050278893,-0.336131050278893
"51",0.131594650892537,9,0.341185936186322,-0.341185936186322
"52",0.186772909689338,10,0.346475956087419,-0.346475956087419
"53",0.236100108506729,11,0.352019923404918,-0.352019923404918
"54",0.279558177780116,12,0.357838828743431,-0.357838828743431
"55",0.318688811703711,13,0.363956174924007,-0.363956174924007
"56",0.350802149732366,14,0.370398377266873,-0.370398377266873
"57",0.369759412745664,15,0.377195244692057,-0.377195244692057
"58",0.380719771353566,16,0.384380561658031,-0.384380561658031
"59",0.38409313262034,17,0.391992796908011,-0.391992796908011
"60",0.38045274120079,18,0.400075973029609,-0.400075973029609
"61",0.370018629337697,19,0.408680741809339,-0.408680741809339
"62",0.350388146208513,20,0.417865725535136,-0.417865725535136
"63",0.320633726977909,21,0.42769920564486,-0.42769920564486
"64",0.289358769892308,22,0.438261270288291,-0.438261270288291
"65",0.254828866866698,23,0.449646575873127,-0.449646575873127
"66",0.217744214247657,24,0.461967941449893,-0.461967941449893
"67",0.177564387046119,25,0.475361090039124,-0.475361090039124
"68",0.1369339272774,26,0.489990996135013,-0.489990996135013
"69",0.0988840983208502,27,0.506060524752664,-0.506060524752664
"70",0.0667330824959323,28,0.523822408611799,-0.523822408611799
"71",0.0322611359851406,29,0.543596203409375,-0.543596203409375
"72",-0.00101815385684101,30,0.565792867038086,-0.565792867038086
"73",-0.0316298325997905,31,0.590951376302663,-0.590951376302663
"74",-0.0554162475742766,32,0.619795032304561,-0.619795032304561
"75",-0.0718705874667648,33,0.653321328180018,-0.653321328180018
"76",-0.0813860206103855,34,0.692951912174839,-0.692951912174839
"77",-0.0863127244224996,35,0.740796754533746,-0.740796754533746
"78",-0.0839426766648535,36,0.800151946059218,-0.800151946059218
"79",-0.0765949274145996,37,0.876522540576581,-0.876522540576581
"80",-0.0644502477500992,38,0.979981992270027,-0.979981992270027
"81",-0.0504719989688414,39,1.13158573407617,-1.13158573407617
"82",-0.0351482140387774,40,1.38590382434968,-1.38590382434968
"83",-0.0181468525830179,41,1.95996398454005,-1.95996398454005
