"","mob_index","r_index"
"456",307,209
"457",307,210
"458",307,211
"459",307,212
"460",307,213
"461",307,214
"462",307,215
"463",307,216
"464",307,217
"465",307,218
"466",307,219
"467",307,220
"468",308,220
"469",309,220
"470",310,220
"471",311,220
"472",312,220
"473",313,220
"474",314,220
"475",315,221
"476",316,222
"477",316,223
"478",317,224
"479",317,225
"480",318,226
"481",319,227
"482",319,228
"483",319,229
"484",319,230
"485",319,231
"486",319,232
"487",319,233
"488",319,234
"489",319,235
"490",319,236
"491",319,237
"492",319,238
"493",319,239
"494",319,240
"495",319,241
"496",319,242
"497",319,243
"498",319,244
"499",319,245
"500",319,246
"501",319,247
"502",320,248
"503",320,249
"504",320,250
"505",321,251
"506",322,252
"507",322,253
"508",322,254
"509",322,255
"510",323,256
"511",323,257
"512",323,258
"513",323,259
"514",323,260
"515",324,261
"516",324,262
"517",324,263
"518",324,264
"519",325,265
"520",325,266
"521",325,267
"522",325,268
"523",325,269
"524",325,270
"525",325,271
"526",325,272
"527",325,273
"528",325,274
"529",325,275
"530",326,275
"531",327,276
"532",327,277
"533",327,278
"534",328,279
"535",328,280
"536",328,281
"537",328,282
"538",328,283
"539",328,284
"540",328,285
"541",328,286
"542",328,287
"543",328,288
"544",328,289
"545",328,290
"546",328,291
"547",328,292
"548",328,293
"549",328,294
"550",328,295
"551",328,296
"552",328,297
"553",328,298
"554",328,299
"555",328,300
"556",328,301
"557",328,302
"558",328,303
"559",328,304
"560",328,305
"561",328,306
"562",328,307
"563",328,308
"564",328,309
"565",328,310
"566",328,311
"567",329,312
"568",329,313
"569",329,314
"570",329,315
"571",329,316
"572",329,317
"573",329,318
"574",329,319
"575",329,320
"576",329,321
"577",329,322
"578",329,323
"579",329,324
"580",329,325
"581",329,326
"582",329,327
"583",329,328
"584",329,329
"585",329,330
"586",329,331
"587",329,332
"588",329,333
"589",329,334
"590",329,335
"591",329,336
"592",329,337
"593",329,338
"594",329,339
"595",329,340
"596",330,341
"597",330,342
"598",331,342
"599",332,342
"600",333,342
"601",334,342
"602",335,342
"603",336,342
"604",337,342
"605",338,342
"606",339,342
"607",340,342
"608",341,342
"609",342,342
