"","ccf","lag","upper_ci","lower_ci"
"1",-0.0672186442547422,-31,1.95996398454005,-1.95996398454005
"2",-0.132527273159193,-30,1.38590382434968,-1.38590382434968
"3",-0.19394741522725,-29,1.13158573407617,-1.13158573407617
"4",-0.252601239847807,-28,0.979981992270027,-0.979981992270027
"5",-0.307398532745124,-27,0.876522540576581,-0.876522540576581
"6",-0.348738512285349,-26,0.800151946059218,-0.800151946059218
"7",-0.374043383568886,-25,0.740796754533746,-0.740796754533746
"8",-0.393530040495283,-24,0.692951912174839,-0.692951912174839
"9",-0.406967721057946,-23,0.653321328180018,-0.653321328180018
"10",-0.413051150597037,-22,0.619795032304561,-0.619795032304561
"11",-0.411552973050205,-21,0.590951376302663,-0.590951376302663
"12",-0.403130913179601,-20,0.565792867038086,-0.565792867038086
"13",-0.391695634418261,-19,0.543596203409375,-0.543596203409375
"14",-0.37844898919455,-18,0.523822408611799,-0.523822408611799
"15",-0.356015544931317,-17,0.506060524752664,-0.506060524752664
"16",-0.324154292352002,-16,0.489990996135013,-0.489990996135013
"17",-0.284032621294589,-15,0.475361090039124,-0.475361090039124
"18",-0.234085370195025,-14,0.461967941449893,-0.461967941449893
"19",-0.147701190673437,-13,0.449646575873127,-0.449646575873127
"20",-0.0472819621225227,-12,0.438261270288291,-0.438261270288291
"21",0.0665281960985393,-11,0.42769920564486,-0.42769920564486
"22",0.182782049966984,-10,0.417865725535136,-0.417865725535136
"23",0.299864252651562,-9,0.408680741809339,-0.408680741809339
"24",0.415599869056845,-8,0.400075973029609,-0.400075973029609
"25",0.527703536824589,-7,0.391992796908011,-0.391992796908011
"26",0.607409454260176,-6,0.384380561658031,-0.384380561658031
"27",0.682347672469022,-5,0.377195244692057,-0.377195244692057
"28",0.751980755035148,-4,0.370398377266873,-0.370398377266873
"29",0.813684440832032,-3,0.363956174924007,-0.363956174924007
"30",0.866489834506303,-2,0.357838828743431,-0.357838828743431
"31",0.910055835952171,-1,0.352019923404918,-0.352019923404918
"32",0.944181441058154,0,0.346475956087419,-0.346475956087419
"33",0.865617671899725,1,0.352019923404918,-0.352019923404918
"34",0.780230997523137,2,0.357838828743431,-0.357838828743431
"35",0.690136074775837,3,0.363956174924007,-0.363956174924007
"36",0.595039850403052,4,0.370398377266873,-0.370398377266873
"37",0.49635499024868,5,0.377195244692057,-0.377195244692057
"38",0.401796044964731,6,0.384380561658031,-0.384380561658031
"39",0.313408917381184,7,0.391992796908011,-0.391992796908011
"40",0.223869484362553,8,0.400075973029609,-0.400075973029609
"41",0.134143179233798,9,0.408680741809339,-0.408680741809339
"42",0.0462603341167398,10,0.417865725535136,-0.417865725535136
"43",-0.0385496903409858,11,0.42769920564486,-0.42769920564486
"44",-0.119658946855697,12,0.438261270288291,-0.438261270288291
"45",-0.198656601185597,13,0.449646575873127,-0.449646575873127
"46",-0.274894933618526,14,0.461967941449893,-0.461967941449893
"47",-0.341370956567257,15,0.475361090039124,-0.475361090039124
"48",-0.39685953487196,16,0.489990996135013,-0.489990996135013
"49",-0.441407654101794,17,0.506060524752664,-0.506060524752664
"50",-0.473034876144825,18,0.523822408611799,-0.523822408611799
"51",-0.471933197516854,19,0.543596203409375,-0.543596203409375
"52",-0.455610370912678,20,0.565792867038086,-0.565792867038086
"53",-0.424917276465517,21,0.590951376302663,-0.590951376302663
"54",-0.388346878402692,22,0.619795032304561,-0.619795032304561
"55",-0.346981471133637,23,0.653321328180018,-0.653321328180018
"56",-0.302131427021936,24,0.692951912174839,-0.692951912174839
"57",-0.255176320974415,25,0.740796754533746,-0.740796754533746
"58",-0.226458231800181,26,0.800151946059218,-0.800151946059218
"59",-0.194008604156733,27,0.876522540576581,-0.876522540576581
"60",-0.15773344507358,28,0.979981992270027,-0.979981992270027
"61",-0.119481244500045,29,1.13158573407617,-1.13158573407617
"62",-0.0800739788049482,30,1.38590382434968,-1.38590382434968
"63",-0.0400758385209727,31,1.95996398454005,-1.95996398454005
