"","ccf","lag","upper_ci","lower_ci"
"1",-0.0692784870758371,-34,1.95996398454005,-1.95996398454005
"2",-0.129668545375362,-33,1.38590382434968,-1.38590382434968
"3",-0.185382107015751,-32,1.13158573407617,-1.13158573407617
"4",-0.238087891558487,-31,0.979981992270027,-0.979981992270027
"5",-0.288764730161293,-30,0.876522540576581,-0.876522540576581
"6",-0.334473599300951,-29,0.800151946059218,-0.800151946059218
"7",-0.375938539949948,-28,0.740796754533746,-0.740796754533746
"8",-0.411674217886151,-27,0.692951912174839,-0.692951912174839
"9",-0.433332469903349,-26,0.653321328180018,-0.653321328180018
"10",-0.4386290270749,-25,0.619795032304561,-0.619795032304561
"11",-0.437426102430151,-24,0.590951376302663,-0.590951376302663
"12",-0.430052013073637,-23,0.565792867038086,-0.565792867038086
"13",-0.415536592814291,-22,0.543596203409375,-0.543596203409375
"14",-0.393889957432132,-21,0.523822408611799,-0.523822408611799
"15",-0.365827572740306,-20,0.506060524752664,-0.506060524752664
"16",-0.335262531472888,-19,0.489990996135013,-0.489990996135013
"17",-0.303707595263503,-18,0.475361090039124,-0.475361090039124
"18",-0.264710696477882,-17,0.461967941449893,-0.461967941449893
"19",-0.21843319693304,-16,0.449646575873127,-0.449646575873127
"20",-0.166010037308602,-15,0.438261270288291,-0.438261270288291
"21",-0.106023380291224,-14,0.42769920564486,-0.42769920564486
"22",-0.0143677818447924,-13,0.417865725535136,-0.417865725535136
"23",0.088165945672967,-12,0.408680741809339,-0.408680741809339
"24",0.200178194855412,-11,0.400075973029609,-0.400075973029609
"25",0.31167345938759,-10,0.391992796908011,-0.391992796908011
"26",0.421218741924585,-9,0.384380561658031,-0.384380561658031
"27",0.527094259270784,-8,0.377195244692057,-0.377195244692057
"28",0.627262213331791,-7,0.370398377266873,-0.370398377266873
"29",0.695276734497899,-6,0.363956174924007,-0.363956174924007
"30",0.756457478803192,-5,0.357838828743431,-0.357838828743431
"31",0.810225985198778,-4,0.352019923404918,-0.352019923404918
"32",0.854640921015098,-3,0.346475956087419,-0.346475956087419
"33",0.889114232212805,-2,0.341185936186322,-0.341185936186322
"34",0.914013376218633,-1,0.336131050278893,-0.336131050278893
"35",0.929685597045087,0,0.331294380129737,-0.331294380129737
"36",0.851808061872398,1,0.336131050278893,-0.336131050278893
"37",0.771920290347555,2,0.341185936186322,-0.341185936186322
"38",0.688310788302581,3,0.346475956087419,-0.346475956087419
"39",0.60066645587262,4,0.352019923404918,-0.352019923404918
"40",0.509204611112127,5,0.357838828743431,-0.357838828743431
"41",0.416240508798006,6,0.363956174924007,-0.363956174924007
"42",0.322227506753271,7,0.370398377266873,-0.370398377266873
"43",0.228793797645567,8,0.377195244692057,-0.377195244692057
"44",0.140472287584828,9,0.384380561658031,-0.384380561658031
"45",0.0587704224206937,10,0.391992796908011,-0.391992796908011
"46",-0.0202127873802918,11,0.400075973029609,-0.400075973029609
"47",-0.0957473795313764,12,0.408680741809339,-0.408680741809339
"48",-0.166334673313566,13,0.417865725535136,-0.417865725535136
"49",-0.230913875888798,14,0.42769920564486,-0.42769920564486
"50",-0.288691855260985,15,0.438261270288291,-0.438261270288291
"51",-0.340381845382193,16,0.449646575873127,-0.449646575873127
"52",-0.385584677249926,17,0.461967941449893,-0.461967941449893
"53",-0.420419167495043,18,0.475361090039124,-0.475361090039124
"54",-0.444499832826617,19,0.489990996135013,-0.489990996135013
"55",-0.458173400160801,20,0.506060524752664,-0.506060524752664
"56",-0.46070250886177,21,0.523822408611799,-0.523822408611799
"57",-0.442282144797493,22,0.543596203409375,-0.543596203409375
"58",-0.413923518977785,23,0.565792867038086,-0.565792867038086
"59",-0.37742745678363,24,0.590951376302663,-0.590951376302663
"60",-0.338030365612017,25,0.619795032304561,-0.619795032304561
"61",-0.296698606688007,26,0.653321328180018,-0.653321328180018
"62",-0.254336580992596,27,0.692951912174839,-0.692951912174839
"63",-0.211950725345426,28,0.740796754533746,-0.740796754533746
"64",-0.180858449228032,29,0.800151946059218,-0.800151946059218
"65",-0.148766019136296,30,0.876522540576581,-0.876522540576581
"66",-0.116200060837685,31,0.979981992270027,-0.979981992270027
"67",-0.0844641701085591,32,1.13158573407617,-1.13158573407617
"68",-0.0543051614857973,33,1.38590382434968,-1.38590382434968
"69",-0.026039533415102,34,1.95996398454005,-1.95996398454005
