"","week","week_start_date","region","type_mobility","mobility_av"
"results.90",57,2020-02-12,"West Midlands","retail_recreation_av",NA
"results.91",57,2020-02-12,"West Midlands","grocery_pharmacy_av",NA
"results.92",57,2020-02-12,"West Midlands","parks_av",NA
"results.93",57,2020-02-12,"West Midlands","transit_stations_av",NA
"results.94",57,2020-02-12,"West Midlands","workplaces_av",NA
"results.95",57,2020-02-12,"West Midlands","residential_av",NA
"results.96",57,2020-02-12,"Yorkshire and the Humber","retail_recreation",-60.3928571428571
"results.97",57,2020-02-12,"Yorkshire and the Humber","grocery_pharmacy",-20.1428571428571
"results.98",57,2020-02-12,"Yorkshire and the Humber","parks",-18.7678571428571
"results.99",57,2020-02-12,"Yorkshire and the Humber","transit_stations",-51.9464285714286
"results.100",57,2020-02-12,"Yorkshire and the Humber","workplaces",-39.6607142857143
"results.101",57,2020-02-12,"Yorkshire and the Humber","residential",15.2678571428571
"results.102",57,2020-02-12,"Yorkshire and the Humber","retail_recreation_av",NA
"results.103",57,2020-02-12,"Yorkshire and the Humber","grocery_pharmacy_av",NA
"results.104",57,2020-02-12,"Yorkshire and the Humber","parks_av",NA
"results.105",57,2020-02-12,"Yorkshire and the Humber","transit_stations_av",NA
"results.106",57,2020-02-12,"Yorkshire and the Humber","workplaces_av",NA
"results.107",57,2020-02-12,"Yorkshire and the Humber","residential_av",NA
"results.108",63,2020-02-19,"East","retail_recreation",-49.0571428571429
"results.109",63,2020-02-19,"East","grocery_pharmacy",-8.92857142857143
"results.110",63,2020-02-19,"East","parks",10.9277210884354
"results.111",63,2020-02-19,"East","transit_stations",-53.8714285714286
"results.112",63,2020-02-19,"East","workplaces",-33.4285714285714
"results.113",63,2020-02-19,"East","residential",14.2857142857143
"results.114",63,2020-02-19,"East","retail_recreation_av",NA
"results.115",63,2020-02-19,"East","grocery_pharmacy_av",NA
"results.116",63,2020-02-19,"East","parks_av",NA
"results.117",63,2020-02-19,"East","transit_stations_av",NA
"results.118",63,2020-02-19,"East","workplaces_av",NA
"results.119",63,2020-02-19,"East","residential_av",NA
"results.120",63,2020-02-19,"East Midlands","retail_recreation",-51.2519841269841
"results.121",63,2020-02-19,"East Midlands","grocery_pharmacy",-6.60714285714286
"results.122",63,2020-02-19,"East Midlands","parks",18.5127551020408
"results.123",63,2020-02-19,"East Midlands","transit_stations",-47.3928571428571
"results.124",63,2020-02-19,"East Midlands","workplaces",-33.515873015873
"results.125",63,2020-02-19,"East Midlands","residential",13.3392857142857
"results.126",63,2020-02-19,"East Midlands","retail_recreation_av",NA
"results.127",63,2020-02-19,"East Midlands","grocery_pharmacy_av",NA
"results.128",63,2020-02-19,"East Midlands","parks_av",NA
"results.129",63,2020-02-19,"East Midlands","transit_stations_av",NA
"results.130",63,2020-02-19,"East Midlands","workplaces_av",NA
"results.131",63,2020-02-19,"East Midlands","residential_av",NA
"results.132",63,2020-02-19,"London","retail_recreation",-62.7142857142857
"results.133",63,2020-02-19,"London","grocery_pharmacy",-13.7142857142857
"results.134",63,2020-02-19,"London","parks",2.57142857142857
"results.135",63,2020-02-19,"London","transit_stations",-62.1428571428571
"results.136",63,2020-02-19,"London","workplaces",-47.8571428571429
"results.137",63,2020-02-19,"London","residential",19
"results.138",63,2020-02-19,"London","retail_recreation_av",NA
"results.139",63,2020-02-19,"London","grocery_pharmacy_av",NA
"results.140",63,2020-02-19,"London","parks_av",NA
"results.141",63,2020-02-19,"London","transit_stations_av",NA
"results.142",63,2020-02-19,"London","workplaces_av",NA
"results.143",63,2020-02-19,"London","residential_av",NA
"results.144",63,2020-02-19,"North East","retail_recreation",-48.9107142857143
"results.145",63,2020-02-19,"North East","grocery_pharmacy",-3.78571428571429
"results.146",63,2020-02-19,"North East","parks",6.91734693877551
"results.147",63,2020-02-19,"North East","transit_stations",-47.5892857142857
"results.148",63,2020-02-19,"North East","workplaces",-30.3392857142857
"results.149",63,2020-02-19,"North East","residential",12.2168367346939
"results.150",63,2020-02-19,"North East","retail_recreation_av",NA
"results.151",63,2020-02-19,"North East","grocery_pharmacy_av",NA
"results.152",63,2020-02-19,"North East","parks_av",NA
"results.153",63,2020-02-19,"North East","transit_stations_av",NA
"results.154",63,2020-02-19,"North East","workplaces_av",NA
"results.155",63,2020-02-19,"North East","residential_av",NA
"results.156",63,2020-02-19,"North West","retail_recreation",-49.8714285714286
"results.157",63,2020-02-19,"North West","grocery_pharmacy",-6.14285714285714
"results.158",63,2020-02-19,"North West","parks",6.51814058956915
"results.159",63,2020-02-19,"North West","transit_stations",-48.3857142857143
"results.160",63,2020-02-19,"North West","workplaces",-34.2
"results.161",63,2020-02-19,"North West","residential",13.3857142857143
"results.162",63,2020-02-19,"North West","retail_recreation_av",NA
"results.163",63,2020-02-19,"North West","grocery_pharmacy_av",NA
"results.164",63,2020-02-19,"North West","parks_av",NA
"results.165",63,2020-02-19,"North West","transit_stations_av",NA
"results.166",63,2020-02-19,"North West","workplaces_av",NA
"results.167",63,2020-02-19,"North West","residential_av",NA
"results.168",63,2020-02-19,"South East","retail_recreation",-51.9097744360902
"results.169",63,2020-02-19,"South East","grocery_pharmacy",-10.0451127819549
"results.170",63,2020-02-19,"South East","parks",12.1531244076578
"results.171",63,2020-02-19,"South East","transit_stations",-55.0902255639098
"results.172",63,2020-02-19,"South East","workplaces",-39.4962406015037
"results.173",63,2020-02-19,"South East","residential",16.0797827903091
"results.174",63,2020-02-19,"South East","retail_recreation_av",NA
"results.175",63,2020-02-19,"South East","grocery_pharmacy_av",NA
"results.176",63,2020-02-19,"South East","parks_av",NA
"results.177",63,2020-02-19,"South East","transit_stations_av",NA
"results.178",63,2020-02-19,"South East","workplaces_av",NA
"results.179",63,2020-02-19,"South East","residential_av",NA
"results.180",63,2020-02-19,"South West","retail_recreation",-52.1978021978022
"results.181",63,2020-02-19,"South West","grocery_pharmacy",-8.14285714285715
"results.182",63,2020-02-19,"South West","parks",25.5952380952381
"results.183",63,2020-02-19,"South West","transit_stations",-49.4065934065934
"results.184",63,2020-02-19,"South West","workplaces",-36.043956043956
"results.185",63,2020-02-19,"South West","residential",14.1978021978022
"results.186",63,2020-02-19,"South West","retail_recreation_av",NA
"results.187",63,2020-02-19,"South West","grocery_pharmacy_av",NA
"results.188",63,2020-02-19,"South West","parks_av",NA
"results.189",63,2020-02-19,"South West","transit_stations_av",NA
"results.190",63,2020-02-19,"South West","workplaces_av",NA
"results.191",63,2020-02-19,"South West","residential_av",NA
"results.192",63,2020-02-19,"West Midlands","retail_recreation",-48.4285714285714
"results.193",63,2020-02-19,"West Midlands","grocery_pharmacy",-7.55102040816326
"results.194",63,2020-02-19,"West Midlands","parks",11.7857142857143
"results.195",63,2020-02-19,"West Midlands","transit_stations",-49.5102040816327
"results.196",63,2020-02-19,"West Midlands","workplaces",-31.1020408163265
"results.197",63,2020-02-19,"West Midlands","residential",12.9795918367347
"results.198",63,2020-02-19,"West Midlands","retail_recreation_av",NA
"results.199",63,2020-02-19,"West Midlands","grocery_pharmacy_av",NA
"results.200",63,2020-02-19,"West Midlands","parks_av",NA
"results.201",63,2020-02-19,"West Midlands","transit_stations_av",NA
"results.202",63,2020-02-19,"West Midlands","workplaces_av",NA
"results.203",63,2020-02-19,"West Midlands","residential_av",NA
"results.204",63,2020-02-19,"Yorkshire and the Humber","retail_recreation",-50.8928571428571
"results.205",63,2020-02-19,"Yorkshire and the Humber","grocery_pharmacy",-6.16071428571429
"results.206",63,2020-02-19,"Yorkshire and the Humber","parks",2.17857142857143
"results.207",63,2020-02-19,"Yorkshire and the Humber","transit_stations",-43.3928571428571
"results.208",63,2020-02-19,"Yorkshire and the Humber","workplaces",-33.2321428571429
"results.209",63,2020-02-19,"Yorkshire and the Humber","residential",12.5892857142857
"results.210",63,2020-02-19,"Yorkshire and the Humber","retail_recreation_av",NA
"results.211",63,2020-02-19,"Yorkshire and the Humber","grocery_pharmacy_av",NA
"results.212",63,2020-02-19,"Yorkshire and the Humber","parks_av",NA
"results.213",63,2020-02-19,"Yorkshire and the Humber","transit_stations_av",NA
"results.214",63,2020-02-19,"Yorkshire and the Humber","workplaces_av",NA
"results.215",63,2020-02-19,"Yorkshire and the Humber","residential_av",NA
"results.216",58,2020-02-26,"East","retail_recreation",-57.8714285714286
"results.217",58,2020-02-26,"East","grocery_pharmacy",-21.1571428571429
"results.218",58,2020-02-26,"East","parks",-7.36422902494331
"results.219",58,2020-02-26,"East","transit_stations",-61.1714285714286
"results.220",58,2020-02-26,"East","workplaces",-41.0285714285714
"results.221",58,2020-02-26,"East","residential",17.1714285714286
"results.222",58,2020-02-26,"East","retail_recreation_av",-50.9428571428571
"results.223",58,2020-02-26,"East","grocery_pharmacy_av",-13.2612244897959
"results.224",58,2020-02-26,"East","parks_av",9.84697926789764
