"","(Intercept)","days_since_lockdown","dayMonday","dayTuesday","dayWednesday","dayThursday","dayFriday","daySaturday"
"Stockton-on-Tees",-51.9455054749172,0.338044308632544,-20.4213776419659,-17.6671759612936,-17.823402088108,-17.2358670741024,-19.8239113827349,-1.66195569136746
"Stoke-on-Trent",-51.1800993124522,0.329640947288006,-19.4963076139547,-16.8237203972498,-16.9715431627196,-16.6777438248026,-19.090718105424,-4.00369238604533
"Suffolk",-52.5650623885918,0.328877005347593,-20.5788770053476,-17.7718360071301,-18.0098039215686,-17.7633689839572,-20.2589126559715,-2.75445632798574
"Surrey",-57.6098930481283,0.321925133689839,-27.2385918003565,-25.0852941176471,-25.3163101604278,-24.5342245989305,-25.1894830659537,-0.844741532976832
"Swindon",-52.5994907053731,0.337738731856379,-26.1710720651897,-23.3646040234276,-23.6114336643748,-22.7367838044309,-24.9078558696206,-2.82892793481029
"Thurrock",-50.6674433409727,0.357448433919022,-24.4407817672524,-21.9941303794245,-22.1697606315253,-20.9276546982429,-23.285103132162,-2.47588489941431
"Torbay",-56.38346065699,0.340565317035905,-16.2572319837026,-14.5118792971734,-14.0342627960275,-13.8116373822256,-15.9855360325949,-2.99276801629743
"Tyne and Wear",-57.29329004329,0.292207792207792,-18.9588744588745,-16.5768398268398,-16.6872294372294,-16.0400432900433,-18.2489177489178,-2.20779220779221
"Warrington",-50.9178507766743,0.307257448433919,-25.7239241151006,-22.7360835243188,-23.1342500636618,-22.1615609880316,-24.3854851031322,-2.69274255156608
"Warwickshire",-54.5401578813344,0.334300993124522,-24.2509676597912,-21.7409727527374,-21.7116373822256,-21.0804303539598,-23.4980646804176,-3.99903234020881
"West Berkshire",-55.1642602495543,0.34331550802139,-29.4266488413547,-26.8410873440285,-27.0025846702317,-26.3033868092692,-27.2300356506239,-3.24001782531195
"West Midlands",-55.5841100076394,0.357448433919022,-22.9407817672524,-20.5320091673033,-20.8894576012223,-20.1776546982429,-21.6184364654953,-3.14255156608098
"West Sussex",-55.4092691622103,0.333155080213903,-22.6664884135472,-19.7351158645276,-19.9773618538324,-19.1672014260249,-20.8336898395722,-1.83351158645276
"West Yorkshire",-53.5822638146168,0.319251336898396,-23.2359180035651,-20.4605169340463,-20.8706773618538,-20.0422459893048,-22.1114973262032,-3.59741532976827
"Wiltshire",-54.751209574739,0.3353705118411,-23.1687038451744,-20.2090654443596,-20.8171632289279,-19.7438884644767,-22.1625923096511,-2.91462948815891
"Windsor and Maidenhead",-58.4903234020881,0.317035905271199,-27.3170359052712,-25.0092946269417,-25.2354214413038,-24.3822256175198,-24.3659281894576,-0.849630761395475
"Wokingham",-58.575935828877,0.333155080213904,-30.5831550802139,-28.8411764705882,-28.6288770053476,-28.3338680926916,-28.1670231729055,-1.58351158645276
"Worcestershire",-56.0727909345556,0.361191749427043,-21.1945250827604,-18.3748790425261,-18.9178889737713,-18.2497580850522,-20.1942831678126,-3.30547491723963
"York",-64.6695951107716,0.233002291825821,-15.8996689584925,-13.9232238349885,-14.4289533995416,-13.8843264578559,-15.2839954163484,-0.766997708174178
