"","sub_region_1","Min_during_lockdown","Pre_lockdown_av","Drop","Min_days","Mobility_30days","Rebound_30days"
"X","Bath and North East Somerset","-62","-42.6428571428571","19.3571428571429","41","-37.5","24.5"
"X.1","Bedford","-50","-29","21","20","-27.25","22.75"
"X.2","Blackburn with Darwen","-43","-24.8571428571429","18.1428571428571","41","-17.3333333333333","25.6666666666667"
"X.3","Blackpool","-42","-28.6428571428571","13.3571428571429","42","-19.6","22.4"
"X.4","Borough of Halton","-47","-29.0714285714286","17.9285714285714","10","-30.3333333333333","16.6666666666667"
"X.5","Bracknell Forest","-61","-38.5","22.5","41","-34.1666666666667","26.8333333333333"
"X.6","Brighton and Hove","-63","-42.6428571428571","20.3571428571429","42","-33","30"
"X.7","Bristol City","-61","-41.9285714285714","19.0714285714286","42","-33.4","27.6"
"X.8","Buckinghamshire","-59","-35.2142857142857","23.7857142857143","20","-35.75","23.25"
"X.9","Cambridgeshire","-58","-38.2857142857143","19.7142857142857","41","-28.5","29.5"
"X.10","Central Bedfordshire","-53","-33.5714285714286","19.4285714285714","20","-32","21"
"X.11","Cheshire East","-53","-34.1428571428571","18.8571428571429","41","-28.8333333333333","24.1666666666667"
"X.12","Cheshire West and Chester","-54","-35.2142857142857","18.7857142857143","42","-27.2","26.8"
"X.13","Cornwall","-51","-31","20","42","-23","28"
"X.14","County Durham","-50","-27.5","22.5","3","-33.56","16.44"
"X.15","Cumbria","-50","-32.0714285714286","17.9285714285714","45","-26.5","23.5"
"X.16","Darlington","-48","-29.2142857142857","18.7857142857143","9","-30.2105263157895","17.7894736842105"
"X.17","Derby","-60","-32.3571428571429","27.6428571428571","20","-33","27"
"X.18","Derbyshire","-48","-29.7857142857143","18.2142857142857","20","-30.125","17.875"
"X.19","Devon","-49","-29.9285714285714","19.0714285714286","43","-22.5","26.5"
"X.20","Dorset","-52","-33.3571428571429","18.6428571428571","41","-27.6666666666667","24.3333333333333"
"X.21","East Riding of Yorkshire","-45","-29.6428571428571","15.3571428571429","42","-18","27"
"X.22","East Sussex","-53","-32.3571428571429","20.6428571428571","9","-35.3684210526316","17.6315789473684"
"X.23","Essex","-59","-35.2857142857143","23.7142857142857","34","-32.25","26.75"
"X.24","Gloucestershire","-51","-31.4285714285714","19.5714285714286","41","-26.6666666666667","24.3333333333333"
"X.25","Greater London","-64","-45","19","9","-47.4736842105263","16.5263157894737"
"X.26","Greater Manchester","-52","-34","18","41","-28.8333333333333","23.1666666666667"
"X.27","Hampshire","-55","-31.8571428571429","23.1428571428571","42","-22.8","32.2"
"X.28","Hartlepool","-43","-25.3571428571429","17.6428571428571","44","-21","22"
"X.29","Herefordshire","-43","-25.1428571428571","17.8571428571429","20","-25.5","17.5"
"X.30","Isle of Wight","-49","-28.3571428571429","20.6428571428571","9","-30.8947368421053","18.1052631578947"
"X.31","Kent","-57","-29.5714285714286","27.4285714285714","34","-36.25","20.75"
"X.32","Kingston upon Hull","-40","-27.0714285714286","12.9285714285714","41","-18.6666666666667","21.3333333333333"
"X.33","Lancashire","-47","-29.7857142857143","17.2142857142857","44","-25.6666666666667","21.3333333333333"
"X.34","Leicester","-53","-32.7142857142857","20.2857142857143","20","-31.875","21.125"
"X.35","Leicestershire","-59","-35.4285714285714","23.5714285714286","20","-33.875","25.125"
"X.36","Lincolnshire","-45","-23.9285714285714","21.0714285714286","9","-27.4736842105263","17.5263157894737"
"X.37","Luton","-47","-25.5714285714286","21.4285714285714","20","-23.875","23.125"
