"","sub_region_1","Pre_lockdown_av","Min_during_lockdown","Drop"
"X","Bath and North East Somerset","-50","-37.6428571428571","12.3571428571429"
"X.1","Bedford","-34","-23.3571428571429","10.6428571428571"
"X.2","Blackburn with Darwen","-31","-26.4285714285714","4.57142857142857"
"X.3","Blackpool","-34","-24.4285714285714","9.57142857142857"
"X.4","Borough of Halton","-34","-27","7"
"X.5","Bracknell Forest","-47","-32","15"
"X.6","Brighton and Hove","-49","-33.1428571428571","15.8571428571429"
"X.7","Bristol City","-51","-35.5714285714286","15.4285714285714"
"X.8","Buckinghamshire","-43","-31","12"
"X.9","Cambridgeshire","-44","-31.2142857142857","12.7857142857143"
"X.10","Central Bedfordshire","-37","-26.3571428571429","10.6428571428571"
"X.11","Cheshire East","-41","-31","10"
"X.12","Cheshire West and Chester","-40","-30.2142857142857","9.78571428571428"
"X.13","Cornwall","-35","-21.7857142857143","13.2142857142857"
"X.14","County Durham","-34","-25.6428571428571","8.35714285714286"
"X.15","Cumbria","-35","-23.8571428571429","11.1428571428571"
"X.16","Darlington","-37","-26","11"
"X.17","Derby","-39","-29","10"
"X.18","Derbyshire","-37","-27.5","9.5"
"X.19","Devon","-36","-24.4285714285714","11.5714285714286"
"X.20","Dorset","-40","-27.7142857142857","12.2857142857143"
"X.21","East Riding of Yorkshire","-34","-20.5714285714286","13.4285714285714"
"X.22","East Sussex","-37","-27.5","9.5"
"X.23","Essex","-40","-29.5714285714286","10.4285714285714"
"X.24","Gloucestershire","-37","-26","11"
"X.25","Greater London","-51","-39.1428571428571","11.8571428571429"
"X.26","Greater Manchester","-41","-32.7142857142857","8.28571428571428"
"X.27","Hampshire","-40","-27.7857142857143","12.2142857142857"
"X.28","Hartlepool","-32","-21.4285714285714","10.5714285714286"
"X.29","Herefordshire","-30","-19.6428571428571","10.3571428571429"
"X.30","Isle of Wight","-33","-21.2857142857143","11.7142857142857"
"X.31","Kent","-37","-25","12"
"X.32","Kingston upon Hull","-34","-22.3571428571429","11.6428571428571"
"X.33","Lancashire","-34","-28.7857142857143","5.21428571428572"
"X.34","Leicester","-39","-28.5","10.5"
"X.35","Leicestershire","-41","-30.6428571428571","10.3571428571429"
"X.36","Lincolnshire","-32","-21.3571428571429","10.6428571428571"
"X.37","Luton","-31","-21.5","9.5"
"X.38","Medway","-41","-30.4285714285714","10.5714285714286"
"X.39","Merseyside","-39","-34.5714285714286","4.42857142857143"
"X.40","Middlesbrough","-33","-24.7857142857143","8.21428571428572"
"X.41","Milton Keynes","-40","-26.9285714285714","13.0714285714286"
"X.42","Norfolk","-33","-22.2142857142857","10.7857142857143"
"X.43","North East Lincolnshire","-31","-20.9285714285714","10.0714285714286"
"X.44","North Lincolnshire","-30","-20.1428571428571","9.85714285714286"
"X.45","North Somerset","-39","-24.7142857142857","14.2857142857143"
"X.46","North Yorkshire","-40","-25.7142857142857","14.2857142857143"
"X.47","Northamptonshire","-32","-23.8571428571429","8.14285714285714"
"X.48","Northumberland","-39","-28.2142857142857","10.7857142857143"
"X.49","Nottingham","-44","-36.5714285714286","7.42857142857143"
"X.50","Nottinghamshire","-36","-30.4285714285714","5.57142857142857"
"X.51","Oxfordshire","-43","-31.8571428571429","11.1428571428571"
"X.52","Peterborough","-32","-21.6428571428571","10.3571428571429"
"X.53","Plymouth","-38","-30.4285714285714","7.57142857142857"
"X.54","Portsmouth","-44","-33.6428571428571","10.3571428571429"
"X.55","Reading","-52","-35","17"
"X.56","Redcar and Cleveland","-34","-22.1428571428571","11.8571428571429"
"X.57","Rutland","-38","-35","3"
"X.58","Shropshire","-35","-22.7857142857143","12.2142857142857"
"X.59","Slough","-40","-32","8"
"X.60","Somerset","-33","-23.3571428571429","9.64285714285714"
"X.61","South Gloucestershire","-45","-31.6428571428571","13.3571428571429"
"X.62","South Yorkshire","-36","-30.2857142857143","5.71428571428572"
"X.63","Southampton","-45","-35.3571428571429","9.64285714285715"
"X.64","Southend-on-Sea","-40","-29.0714285714286","10.9285714285714"
"X.65","Staffordshire","-36","-24.7857142857143","11.2142857142857"
"X.66","Stockton-on-Tees","-33","-25","8"
"X.67","Stoke-on-Trent","-32","-23.3571428571429","8.64285714285714"
"X.68","Suffolk","-35","-24.7857142857143","10.2142857142857"
"X.69","Surrey","-48","-34.2857142857143","13.7142857142857"
"X.70","Swindon","-39","-27.5","11.5"
"X.71","Thurrock","-37","-31.1428571428571","5.85714285714286"
"X.72","Torbay","-39","-20.3571428571429","18.6428571428571"
"X.73","Tyne and Wear","-40","-31.2142857142857","8.78571428571428"
"X.74","Warrington","-42","-31.4285714285714","10.5714285714286"
"X.75","Warwickshire","-41","-29.0714285714286","11.9285714285714"
"X.76","West Berkshire","-47","-32.3571428571429","14.6428571428571"
"X.77","West Midlands","-38","-29.2142857142857","8.78571428571428"
"X.78","West Sussex","-40","-27.2142857142857","12.7857142857143"
"X.79","West Yorkshire","-41","-31.5","9.5"
"X.80","Wiltshire","-37","-28.4285714285714","8.57142857142857"
"X.81","Windsor and Maidenhead","-50","-35.5","14.5"
"X.82","Wokingham","-52","-36.1428571428571","15.8571428571429"
"X.83","Worcestershire","-35","-24.5714285714286","10.4285714285714"
"X.84","York","-49","-37.4285714285714","11.5714285714286"
