"","Retail and recreationEstimate","Retail and recreationStd. Error","Retail and recreationt value","Retail and recreationPr(>|t|)","Retail and recreation2.5 %","Retail and recreation97.5 %","Grocery and pharmacyEstimate","Grocery and pharmacyStd. Error","Grocery and pharmacyt value","Grocery and pharmacyPr(>|t|)","Grocery and pharmacy2.5 %","Grocery and pharmacy97.5 %","ParksEstimate","ParksStd. Error","Parkst value","ParksPr(>|t|)","Parks2.5 %","Parks97.5 %","Transit stationsEstimate","Transit stationsStd. Error","Transit stationst value","Transit stationsPr(>|t|)","Transit stations2.5 %","Transit stations97.5 %","WorkplacesEstimate","WorkplacesStd. Error","Workplacest value","WorkplacesPr(>|t|)","Workplaces2.5 %","Workplaces97.5 %","ResidentialEstimate","ResidentialStd. Error","Residentialt value","ResidentialPr(>|t|)","Residential2.5 %","Residential97.5 %"
"(Intercept)",-24.1062475038121,2.23210213369472,-10.7997959143159,6.39194029841508e-24,-28.4949195793939,-19.7175754282304,-12.2180819739987,0.918891700999229,-13.296541867461,1.8988798060957e-33,-14.0247709636212,-10.4113929843762,118.07659366425,4.07647508789103,28.9653661848668,1.25037998800816e-98,110.061587489144,126.091599839357,-19.2296623143908,1.42849643340291,-13.4614703017372,4.18103642673837e-34,-22.0383162342571,-16.4210083945245,-32.6428940366458,1.50463007429427,-21.6949631635913,1.05747668337415e-68,-35.6012389490292,-29.6845491242625,8.29375585198425,0.574012059259227,14.4487484508383,4.28563619095228e-38,7.16515575009361,9.42235595387488
"days_since_start",-0.0191193225194965,0.0120937672034018,-1.58092364421556,0.114718792063794,-0.0428976154627061,0.00465897042371307,0.0113376066854724,0.00497865314909575,2.27724373358518,0.0233209450352494,0.00154877322681844,0.0211264401441264,-0.424573770281231,0.0220867763975551,-19.2229849498648,3.56537862519043e-58,-0.467999927781973,-0.381147612780489,-0.0874475572544013,0.00773974589051101,-11.2985049498347,9.44950542421005e-26,-0.102665143470118,-0.0722299710386847,-0.00493232303866189,0.00815224606932826,-0.605026270884916,0.545518904078753,-0.0209609510022538,0.01109630492493,0.0144361073889056,0.00311005850128173,4.64174785874803,4.74907312418097e-06,0.00832123177816993,0.0205509829996413
"lockdown11",-56.3866178852978,3.04346349871351,-18.5271214552541,3.30454106574628e-55,-62.3705570018056,-50.4026787687899,-24.5535425526345,1.25290563950709,-19.5972799374534,9.02233762033374e-60,-27.0169567084832,-22.0901283967858,-153.502538336128,5.55825960923888,-27.6170148801574,2.98360815866431e-93,-164.430971389289,-142.574105282967,-53.2998318060344,1.94774992034428,-27.3648229936075,3.09393616063204e-92,-57.1294216606359,-49.4702419514329,-36.2354313553001,2.05155787499798,-17.6623978279607,1.5766597683814e-51,-40.2691243577525,-32.2017383528476,17.4520886911618,0.782663447073145,22.298331110806,2.94249491653651e-71,15.9132463761541,18.9909310061696
"lockdown21",-78.5787035946686,52.6036121600952,-1.49378912146794,0.13605196061208,-182.00587221603,24.8484650266927,-56.3977174226324,21.6553812331531,-2.60432807972417,0.00956275018340407,-98.9756825924892,-13.8197522527757,-10.6939950758581,96.0696696027789,-0.111314997960072,0.911424721686769,-199.58242895688,178.194438805164,-56.9757126426203,33.6651586056336,-1.69242371052088,0.0913763639034117,-123.166833229033,9.2154079437923,-32.2931266302648,35.4593885637206,-0.910707373654624,0.36302088538608,-102.011992114799,37.4257388542697,12.8351018426146,13.5276550676958,0.948804636013009,0.343316711949877,-13.7624454414016,39.4326491266309
"lockdown31",-133.544333890067,10.4403548405629,-12.7911681096527,1.87803031772115e-31,-154.071751993512,-113.016915786622,-96.4489166493349,4.29799124048168,-22.4404637545343,7.37882010916472e-72,-104.899459235831,-87.9983740628384,-389.818303424155,19.0671590577485,-20.4444879409416,2.20022706271625e-63,-427.307407195095,-352.329199653215,-125.039880542141,6.68159822441381,-18.7140675542656,5.2770423485369e-56,-138.176978126114,-111.902782958168,-48.6975667397041,7.03770299856858,-6.91952569604157,1.90726373605158e-11,-62.5348236285416,-34.8603098508666,34.655684645123,2.68486351541124,12.9078012517947,6.54384930293294e-32,29.3768108162944,39.9345584739517
"days_since_start:lockdown11",0.290033299398744,0.0457323626670145,6.34197059772591,6.38106933195719e-10,0.200116113281957,0.379950485515531,0.266824956981495,0.0188266871338218,14.1726983130319,5.7056067546044e-37,0.229808659719526,0.303841254243464,1.58698771892179,0.0835207467921267,19.0011198399796,3.15095579629463e-57,1.42277248717,1.75120295067358,0.445942777110095,0.0292677095616511,15.2366817830667,2.45768110925507e-41,0.38839774916066,0.50348780505953,0.312686086400044,0.0308275715517655,10.1430657901477,1.40996820099036e-21,0.252074118701555,0.373298054098533,-0.124542274248314,0.0117606301580074,-10.5897619919216,3.66188105604906e-23,-0.147665566138304,-0.101418982358324
"days_since_start:lockdown21",0.243943632855677,0.221491939621206,1.10136573490154,0.271427376311386,-0.191545171938854,0.679432437650207,0.226843738043235,0.0911818066403878,2.48781798037721,0.0132763323570584,0.0475656295001522,0.406121846586317,-0.0106036869621529,0.404509435479981,-0.0262136949897618,0.979100509703453,-0.805934347240596,0.78472697331629,0.203629290244714,0.141749985809413,1.43653834659638,0.151663413837325,-0.075073998034552,0.48233257852398,0.135194319516388,0.149304742169749,0.905492468301388,0.365772327322683,-0.158362835786225,0.428751474819002,-0.0441830240452929,0.0569593310503405,-0.775694223063189,0.438407004775702,-0.156174237104469,0.0678081890138837
"days_since_start:lockdown31",0.331629785992481,0.0323528984119993,10.2503887524798,5.91147913794061e-22,0.268018780169082,0.395240791815879,0.273734201628814,0.0133187498032844,20.55254477123,7.62163207550481e-64,0.247547395720169,0.299921007537458,1.27733574579296,0.0590859093796387,21.6182802161142,2.23683158894446e-68,1.16116333744283,1.39350815414309,0.36015867711801,0.020705145743169,17.3946458327555,2.15606858784364e-50,0.319449027872038,0.400868326363982,0.128743881805377,0.0218086543650691,5.90333908962241,7.83931828294885e-09,0.0858645569872214,0.171623206623532,-0.0965364210265181,0.00831993911037415,-11.6030201358261,6.88833434594218e-27,-0.112894760500797,-0.0801780815522395
