"","Retail and recreationEstimate","Retail and recreationStd. Error","Retail and recreationt value","Retail and recreationPr(>|t|)","Retail and recreation2.5 %","Retail and recreation97.5 %","Grocery and pharmacyEstimate","Grocery and pharmacyStd. Error","Grocery and pharmacyt value","Grocery and pharmacyPr(>|t|)","Grocery and pharmacy2.5 %","Grocery and pharmacy97.5 %","ParksEstimate","ParksStd. Error","Parkst value","ParksPr(>|t|)","Parks2.5 %","Parks97.5 %","Transit stationsEstimate","Transit stationsStd. Error","Transit stationst value","Transit stationsPr(>|t|)","Transit stations2.5 %","Transit stations97.5 %","WorkplacesEstimate","WorkplacesStd. Error","Workplacest value","WorkplacesPr(>|t|)","Workplaces2.5 %","Workplaces97.5 %","ResidentialEstimate","ResidentialStd. Error","Residentialt value","ResidentialPr(>|t|)","Residential2.5 %","Residential97.5 %"
"(Intercept)",-64.6576898973707,2.15800683960637,-29.9617631930975,4.30133097540241e-18,-69.1592132837393,-60.1561665110021,-21.3604477939992,0.799854137373782,-26.7054288974905,4.07048922600765e-17,-23.0289142877052,-19.6919813002931,11.2978010908639,6.1124403892044,1.8483290423278,0.0793965022508205,-1.45252613460798,24.0481283163358,-56.1843608864,0.975828248081684,-57.5760754998117,1.06297124562708e-23,-58.2199029427078,-54.1488188300921,-29.6942788045151,0.878483047350335,-33.8017664587592,4.03246180505065e-19,-31.5267623303306,-27.8617952786996,10.8492623457883,0.365734357836957,29.6643236089535,5.22926440433319e-18,10.0863538439311,11.6121708476454
"dayFriday",6.75475393855828,2.5624762718305,2.63602594600146,0.0158403575161198,1.40952210103375,12.0999857760828,7.28587031494082,0.949768652410587,7.67120529451958,2.21547003086741e-07,5.30468762265338,9.26705300722826,-6.04145656228924,7.25807869226757,-0.832376833930656,0.415025423423036,-21.1815434117386,9.09863028716015,5.59044495646233,1.15872511856698,4.82465156479576,0.000102966626487588,3.17338671370281,8.00750319922186,-9.6781642260362,1.0431347680303,-9.27796150857,1.09855925716376e-08,-11.8541052227196,-7.50222322935284,6.34635192729952,0.434282967296487,14.6134027931306,3.89116676456043e-12,5.44045353174889,7.25225032285014
"dayMonday",11.5369912471464,2.5580107274465,4.51014185490263,0.000213663293710492,6.20107437197904,16.8729081223138,3.77218428489151,0.948113521349085,3.97862091400617,0.00073958253444434,1.79445413549879,5.74991443428422,-3.67999987242756,7.24543027366594,-0.507906326254052,0.61707494153656,-18.7937025830082,11.4337028381531,6.83553198320811,1.15670584584134,5.90948166103219,8.84006823889173e-06,4.42268586954434,9.24837809687189,-10.3989258417692,1.04131693086383,-9.98632167935921,3.23743097194243e-09,-12.5710748965703,-8.22677678696822,4.82383088483247,0.43352615643857,11.1269661892154,5.10276623066122e-10,3.91951116906795,5.72815060059699
"daySaturday",-0.920477563355669,2.5580107274465,-0.359841166215328,0.72273774454336,-6.25639443852304,4.4154393118117,2.14522430752686,0.948113521349085,2.26262389389236,0.03494460750551,0.167494158134149,4.12295445691958,-15.9150401489519,7.24543027366594,-2.19656246045129,0.0400077624491244,-31.0287428595326,-0.801337438371283,-3.37614284347496,1.15670584584134,-2.91875661873162,0.00849067136676564,-5.78898895713873,-0.963296729811183,0.159842434482884,1.04131693086383,0.153500274263558,0.879542013691333,-2.01230662031814,2.3319914892839,2.85048040616626,0.43352615643857,6.57510593958861,2.09295638045948e-06,1.94616069040174,3.75480012193078
"dayThursday",9.48999476122173,2.56990160258441,3.6927463493848,0.00144136013272151,4.12927395516068,14.8507155672828,6.43886845622087,0.952520813069155,6.75981917442196,1.4174733663767e-06,4.45194485739865,8.42579205504309,6.14953946246322,7.27911054942874,0.844820176957724,0.408204218837077,-9.03441907225247,21.3334979971789,6.92420874733331,1.16208277590524,5.95844710110215,7.9362153147655e-06,4.50014655409773,9.34827094056889,-9.6028641616441,1.04615747725835,-9.17917652972302,1.30890249717001e-08,-11.7851104192889,-7.42061790399931,5.50620539347001,0.435541396382608,12.642209074044,5.38208141857101e-11,4.59768196084476,6.41472882609527
"dayTuesday",10.2106194851811,2.5624762718305,3.98466889134827,0.000729198611966325,4.86538764765655,15.5558513227056,5.78372311452407,0.949768652410587,6.08961255969496,5.95326783071863e-06,3.80254042223662,7.76490580681151,6.23567896996838,7.25807869226757,0.859136313389877,0.400445852532822,-8.90440787948101,21.3757658194178,7.85836476981475,1.15872511856698,6.78190594464143,1.3533460963177e-06,5.44130652705523,10.2754230125743,-10.0685861737326,1.0431347680303,-9.65223908004201,5.71782481590034e-09,-12.244527170416,-7.89264517704924,5.18805566435933,0.434282967296487,11.9462563697955,1.47172439456759e-10,4.28215726880871,6.09395405990996
"dayWednesday",12.4570949622753,2.56990160258441,4.84730425077281,9.77154468023152e-05,7.09637415621422,17.8178157683363,4.67445066056779,0.952520813069154,4.90745251592567,8.50506419355316e-05,2.68752706174557,6.66137425939001,-9.98037245919211,7.27911054942873,-1.37109779985075,0.185534705128267,-25.1643309939078,5.20358607552358,7.18874316896565,1.16208277590524,6.18608529273293,4.82511952693958e-06,4.76468097573007,9.61280536220123,-8.60318279970511,1.04615747725835,-8.22360207399305,7.59409111124253e-08,-10.7854290573499,-6.42093654206032,5.33893336908487,0.435541396382608,12.2581536759248,9.32512097862987e-11,4.43040993645962,6.24745680171013
"days_since_lockdown",0.483025085696579,0.0873036119202252,5.53270449037034,2.04608067311818e-05,0.300912942416705,0.665137228976453,0.338713866691703,0.0323586347922811,10.4674955808859,1.45939919694114e-09,0.271214937311579,0.406212796071827,-0.277692809460194,0.247282869465766,-1.12297633095299,0.274747756525928,-0.793515836300798,0.23813021738041,0.185566064228625,0.0394777852913832,4.70051860455121,0.000137256120755085,0.103216847131789,0.26791528132546,0.163873971142296,0.0355396200034102,4.61102204037556,0.00016895985184112,0.089739622885464,0.238008319399129,-0.0624093933131377,0.0147960283797407,-4.21798280669635,0.000422573611424771,-0.0932733676779852,-0.0315454189482901
