"","(Intercept)","days_since_start","lockdown11","lockdown21","lockdown31","days_since_start:lockdown11","days_since_start:lockdown21","days_since_start:lockdown31"
"North East Lincolnshire",-25.125459758345,0.0147621707960982,-54.5835365054559,-103.692156943509,-123.950810848646,0.331474498684769,0.346016623480235,0.286653193445173
"North Lincolnshire",-26.2120607227119,0.00452135938664444,-44.8091390589933,-72.9992145920121,-113.38670348761,0.279737627781541,0.245498188662462,0.283129020814811
"North Somerset",-23.3572753510455,-0.0195190684593852,-56.5147283431739,-65.201916141644,-148.097414639922,0.313472271904215,0.192206534250301,0.381132576497057
"North Yorkshire",-0.133788198988327,-0.0781722088415429,-82.3052781710213,-97.4187569570048,-175.004980113838,0.356488726946482,0.272636201335091,0.432987794042295
"Northamptonshire",-29.4285526385596,0.00787040044320574,-48.9032974097171,-69.9871952697989,-124.430871787179,0.25661456224922,0.213257131029153,0.299493596116448
"Northumberland",-14.532805108768,-0.0548360612136391,-63.302256391589,-80.936856319022,-148.833064208453,0.328433742686727,0.272366751650736,0.399584674818842
"Nottingham",-46.7836109097018,-0.00761337688988457,-38.2215526014859,-50.4349753753868,-90.4633231875131,0.153566138769769,0.14898486801507,0.218139541155626
"Nottinghamshire",-24.0717568439854,-0.0274892131729378,-54.778669250637,-82.1211824006779,-136.041460059775,0.301079120615327,0.27438107336529,0.356764185373068
"Oxfordshire",-34.0070871502847,0.00928001266497778,-48.7748699463947,-59.1054314203618,-121.580391572469,0.213021504670333,0.157230269608851,0.282577234554135
"Peterborough",-26.6871695168535,-0.0155712019009712,-48.5520311884065,-74.0832972905589,-112.482073211096,0.319666405790473,0.254604746353234,0.282583102764296
"Plymouth",-42.4419691389996,0.0577035818567823,-41.451696114348,-91.1439249887659,-106.872824710122,0.228396295779972,0.291659151742402,0.222096618950043
"Portsmouth",-30.5005719212385,-0.0120482462209487,-54.8146541398002,-72.842183571763,-126.58445069652,0.319225075877943,0.226294864408451,0.309926099531202
"Reading",-42.7498573365322,0.00827398313956194,-43.6204461771741,-76.0833978046041,-124.845882535858,0.201497351521575,0.247844556230206,0.312015063531831
"Redcar and Cleveland",-18.8750127122888,-0.0734263147009783,-61.7121582712972,-56.9196936760142,-131.257937240749,0.397727779172882,0.174216055884811,0.35844245481952
"Rutland",NA,NA,NA,NA,NA,NA,NA,NA
"Shropshire",-29.3444198086513,0.0353723882733997,-50.8601895696284,-95.1230131415401,-138.37061155392,0.254791752610693,0.292761163998083,0.318724898675236
"Slough",-18.4515438023148,-0.0550754423167793,-56.8831188902675,-50.1111663392136,-123.517436221365,0.457152974279708,0.182020473202699,0.356221624647939
"Somerset",-16.7749387666678,-0.0232508327121015,-63.5796223348813,-100.900485425998,-146.057996431746,0.310062811560518,0.317566260032454,0.35093734374748
"South Gloucestershire",-37.7394101704805,0.0508982093203893,-38.8009113945251,-66.3000768887107,-107.121700600754,0.153521482610321,0.194273422550749,0.237236554371721
"South Yorkshire",-32.91618660029,0.00565572974623757,-48.1683606479364,-79.4312213283987,-119.527803049881,0.252679974666457,0.253551401382076,0.291100772184459
"Southampton",-44.2225584139076,0.025668426771499,-38.6089767861259,-73.9314020208412,-103.308560526351,0.152991237048318,0.221145241224437,0.222561198353106
"Southend-on-Sea",-12.3597407601764,-0.0771535550684942,-71.5850558478586,-65.6182481365322,-152.149860900979,0.431492319339673,0.206835312829072,0.404028201947173
"Staffordshire",-18.8041693930604,-0.0363095082220336,-60.6751975520719,-81.8965108790483,-147.2955675428,0.335365585415047,0.264200664684618,0.38577024472965
"Stockton-on-Tees",-26.0315338666629,-0.00525222491872342,-51.8279598573623,-69.4422326514391,-124.167635556,0.304617708533401,0.230641231095909,0.314559513342822
"Stoke-on-Trent",-33.3198480251797,0.0113796841585557,-46.2229923257711,-71.5216172965808,-124.910272278982,0.2879531485272,0.229843241793432,0.314123862349097
"Suffolk",-24.2824160860184,-0.0179456089528203,-56.9316807193213,-91.5438017574406,-146.371288584,0.31772156138819,0.304324528336665,0.370886277373247
"Surrey",-29.8858871538215,-0.0151961456159593,-49.7653449523032,-66.0238790515109,-124.551323286694,0.216719233709719,0.201840918467628,0.312036137123054
"Swindon",-40.1140850088755,0.0417491445698029,-39.3052928509962,-78.5829593260997,-100.551723490507,0.20760444477791,0.25381735789325,0.225515384235901
"Thurrock",-21.2234252239412,-0.0194852529107653,-60.8701896536878,-110.243968630153,-146.131973348819,0.291078789270685,0.361732496635844,0.35398264206216
"Torbay",-3.62738406571639,-0.0712370079350898,-79.8309929965397,-119.185306527763,-171.3162906992,0.400445440581668,0.373606231486582,0.434975901482282
"Tyne and Wear",-32.0149424804583,-0.0128804892340893,-47.4079196999708,-58.1797169925261,-113.640181512359,0.234875709760017,0.179586251998964,0.282163882365631
"Warrington",-27.8697603289989,-0.00940108911092732,-52.5466369675042,-91.3311936157968,-125.536720909238,0.305353773250506,0.301761711520808,0.309864960076348
"Warwickshire",-22.0025830739574,-0.0335787498741669,-59.8905784222014,-58.3910755389128,-139.452571867582,0.321085727066715,0.15751338119796,0.3562155810129
"West Berkshire",-28.5523938282507,-0.0117285134242421,-56.4034854379431,-90.9010818148807,-121.954598783642,0.297428805883279,0.29681726156718,0.293677131347872
"West Midlands",-32.4081290011671,-0.00570419267226981,-46.6430023535198,-42.0329922749294,-113.350489678186,0.253708210291332,0.107862297293428,0.281022586649504
"West Sussex",-22.3725694567253,-0.017917445190982,-57.4385215973865,-85.378310205484,-137.307615084028,0.326454730219596,0.276889999730038,0.339319926126928
"West Yorkshire",-31.454425379337,-0.0101126184876039,-47.6107272171115,-62.0925681307104,-114.021543657546,0.268098491519024,0.188312634126042,0.285555527091708
"Wiltshire",-25.6759463534113,0.013336083250124,-53.4549465562063,-99.7109095383705,-139.442172684011,0.270792300202384,0.321482901815166,0.331421167207809
"Windsor and Maidenhead",-33.7626316571234,-0.00557119110759859,-51.1496726122188,-87.7364300365201,-134.996456291228,0.270192976740258,0.293279377830566,0.338318897843265
"Wokingham",-25.8947712578806,-0.0415105330069547,-50.6654906958577,-47.5584698086614,-133.720680071655,0.283674698767948,0.135771225789817,0.363812686102368
"Worcestershire",-28.4651688448341,0.0289579374110656,-53.2912225745016,-82.4819341342883,-128.406217621937,0.276465070921138,0.250540068687925,0.287956978793469
"York",-38.7835871517019,0.0364373539128326,-45.6212657092191,-88.9332007128688,-124.550979332271,0.179047893309117,0.264368025710278,0.270606359358051
