"","x","p","lb_2.5","lb_25","ub_97.5","ub_75","d_comb","region"
"1",18383.0229007634,0.00551111342774819,0.00163721752546732,0.00360525975202969,0.0187127348271181,0.00864464636877975,2020-05-01,"EAST"
"2",18384.0229007634,0.00506468633444146,0.00160457268508077,0.00337273090912917,0.0162422721992763,0.00774612733997892,2020-05-02,"EAST"
"3",18385.0229007634,0.0046563617194919,0.0015602296936598,0.00316908831487659,0.014094508232322,0.00696832048714046,2020-05-03,"EAST"
"4",18386.0229007634,0.00429286036727117,0.00152052163841921,0.00298525850763386,0.0122540879501163,0.00629749894185286,2020-05-04,"EAST"
"5",18387.0229007634,0.00396545684456395,0.00148775078274085,0.00281925413607952,0.0106806574151711,0.0056808885868167,2020-05-05,"EAST"
"6",18388.0229007634,0.00367968389681495,0.0014625292100295,0.0026685873900089,0.00928469447042941,0.00513919869648515,2020-05-06,"EAST"
"7",18389.0229007634,0.00341990103372336,0.00143798701211632,0.00253030011192298,0.00810443227753315,0.00465733162684751,2020-05-07,"EAST"
"8",18390.0229007634,0.00319104365420493,0.00140373332614631,0.0024025967941128,0.00708271269782066,0.00423139048710693,2020-05-08,"EAST"
"9",18391.0229007634,0.00297915607192084,0.00137486255451017,0.00228289164308486,0.00619650893409573,0.00385994425563753,2020-05-09,"EAST"
"10",18392.0229007634,0.00278667476296879,0.00134608900137763,0.00217278648956459,0.00545948836798501,0.00353136626844666,2020-05-10,"EAST"
"11",18393.0229007634,0.00260646450993197,0.00131160418412139,0.00206866299726811,0.00484288286238182,0.0032427824908875,2020-05-11,"EAST"
"12",18394.0229007634,0.00243760617401973,0.00127455098323735,0.00196803818174742,0.00434058438210479,0.00298610645616447,2020-05-12,"EAST"
"13",18395.0229007634,0.00227937346797285,0.00123528104521699,0.0018631976931921,0.00389958700044789,0.00275334099996061,2020-05-13,"EAST"
"14",18396.0229007634,0.00212947237362604,0.00119353925512784,0.00176087198202704,0.00352689120798227,0.00254457507076834,2020-05-14,"EAST"
"15",18397.0229007634,0.00198913631982979,0.00114355777163941,0.0016578965672543,0.00320624855327674,0.0023553150212285,2020-05-15,"EAST"
"16",18398.0229007634,0.00185465460457713,0.00109138829136116,0.0015582460178949,0.00293429250830992,0.00218646183843381,2020-05-16,"EAST"
"17",18399.0229007634,0.00172715117209095,0.00103711133190026,0.00145998466288509,0.0026931704908178,0.0020260040350042,2020-05-17,"EAST"
"18",18400.0229007634,0.00160826035587105,0.00097426558875823,0.00136589912939012,0.00248218592584303,0.00188095361941668,2020-05-18,"EAST"
"19",18401.0229007634,0.00150002383805565,0.000911372109581875,0.00127573086292526,0.00230348957868395,0.00175112852602606,2020-05-19,"EAST"
"20",18402.0229007634,0.0014002371563885,0.000850732878961715,0.00119049757489747,0.0021504919903927,0.00163600064550064,2020-05-20,"EAST"
"21",18403.0229007634,0.00131066304864112,0.00079035156557091,0.00111382214471538,0.00202368648660361,0.00153498191581284,2020-05-21,"EAST"
"22",18404.0229007634,0.00123179856095837,0.000734424732753382,0.00104279497705008,0.00192371831678743,0.00144696753089948,2020-05-22,"EAST"
"23",18405.0229007634,0.00116254602371824,0.000681678009621657,0.000978587163146172,0.00184337926187044,0.00137255306722484,2020-05-23,"EAST"
"24",18406.0229007634,0.00110008214460604,0.000632628626975322,0.000920140495709989,0.00177970059353133,0.0013067760774525,2020-05-24,"EAST"
"25",18407.0229007634,0.00104438498699216,0.000587216072762663,0.000865521105833235,0.0017340961438938,0.00125052501397648,2020-05-25,"EAST"
"26",18408.0229007634,0.000994188841443912,0.00054620855152113,0.000816066966942294,0.0016980709458605,0.00120124617580881,2020-05-26,"EAST"
"27",18409.0229007634,0.000948882128309908,0.000509756635300866,0.00077266105677585,0.00166996892183079,0.00115686354007806,2020-05-27,"EAST"
"28",18410.0229007634,0.000908285729936854,0.000478567769630748,0.000733509486074045,0.00164599154003495,0.00111807166572819,2020-05-28,"EAST"
"29",18411.0229007634,0.000873236289346119,0.000449282914145841,0.000698993746772867,0.00162995207647259,0.00108347614210974,2020-05-29,"EAST"
"30",18412.0229007634,0.000842645927983095,0.00042390017853358,0.000669034516211619,0.00161365905958304,0.00105350250815408,2020-05-30,"EAST"
"31",18413.0229007634,0.000814924690442296,0.000402008167098463,0.000644195263321269,0.00160476825099241,0.00102712184319053,2020-05-31,"EAST"
"32",18414.0229007634,0.000791640766154088,0.000384342705638192,0.000622629602764792,0.0015962705983735,0.00100484437179269,2020-06-01,"EAST"
"33",18415.0229007634,0.000771293560310417,0.000369184398790812,0.000604711966240385,0.00159212190089171,0.000985479848449317,2020-06-02,"EAST"
"34",18416.0229007634,0.000754381878037846,0.000357368068374383,0.00058951007888504,0.00158198211239046,0.000968095064159374,2020-06-03,"EAST"
"35",18417.0229007634,0.000739712411602129,0.000347651587803065,0.000576577542461401,0.00157512839918617,0.000953736838549258,2020-06-04,"EAST"
"36",18418.0229007634,0.000727788522641315,0.000340859969238817,0.000565148653711142,0.00156186358931712,0.000941207500359266,2020-06-05,"EAST"
"37",18419.0229007634,0.000717658235371456,0.000335554264273442,0.000555370210309356,0.00154651007088905,0.000929015253377021,2020-06-06,"EAST"
"38",18420.0229007634,0.000708418671579032,0.000330986533085958,0.000548194251281103,0.00152179060668299,0.000918066173514283,2020-06-07,"EAST"
"39",18421.0229007634,0.000702165599605524,0.000327044726893698,0.000541394904187575,0.00149366134540537,0.000907997070985916,2020-06-08,"EAST"
"40",18422.0229007634,0.00069674090635326,0.000325016356312141,0.000536296603625052,0.00146298935328137,0.000898564921570666,2020-06-09,"EAST"
